1			497                 1                   370.00              -1.00               -1.00               9                   -1.00               -1.00               370.00              13896040            
2			497                 1                   210.00              -1.00               -1.00               5                   -1.00               -1.00               210.00              13737224            
3			497                 1                   401.00              -1.00               -1.00               6                   -1.00               -1.00               401.00              13903696            
4			497                 2                   352.00              -1.00               -1.00               5                   -1.00               -1.00               352.00              13867968            
5			497                 1                   206.00              -1.00               -1.00               4                   -1.00               -1.00               206.00              13705440            
6			497                 1                   438.00              -1.00               -1.00               6                   -1.00               -1.00               438.00              13913424            
7			497                 2                   351.00              -1.00               -1.00               5                   -1.00               -1.00               351.00              13869008            
8			497                 1                   391.00              -1.00               -1.00               10                  -1.00               -1.00               391.00              13896624            
9			497                 1                   367.00              -1.00               -1.00               8                   -1.00               -1.00               367.00              13904160            
10			497                 1                   386.00              -1.00               -1.00               14                  -1.00               -1.00               386.00              13912160            
11			497                 1                   377.00              -1.00               -1.00               9                   -1.00               -1.00               377.00              13898280            
12			497                 1                   374.00              -1.00               -1.00               10                  -1.00               -1.00               374.00              13905128            
13			497                 1                   371.00              -1.00               -1.00               10                  -1.00               -1.00               371.00              13910720            
14			497                 1                   372.00              -1.00               -1.00               9                   -1.00               -1.00               372.00              13895712            
15			497                 1                   231.00              -1.00               -1.00               5                   -1.00               -1.00               231.00              13739104            
16			497                 1                   233.00              -1.00               -1.00               4                   -1.00               -1.00               233.00              13706296            
17			497                 1                   468.00              -1.00               -1.00               10                  -1.00               -1.00               468.00              13895232            
18			497                 1                   409.00              -1.00               -1.00               8                   -1.00               -1.00               409.00              13897792            
19			497                 1                   390.00              -1.00               -1.00               9                   -1.00               -1.00               390.00              13895080            
20			497                 1                   368.00              -1.00               -1.00               8                   -1.00               -1.00               368.00              13896784            
21			497                 1                   209.00              -1.00               -1.00               5                   -1.00               -1.00               209.00              13740760            
22			497                 1                   397.00              -1.00               -1.00               7                   -1.00               -1.00               397.00              13881824            
23			497                 1                   370.00              -1.00               -1.00               9                   -1.00               -1.00               370.00              13892704            
24			497                 1                   383.00              -1.00               -1.00               11                  -1.00               -1.00               383.00              13900464            
25			497                 1                   213.00              -1.00               -1.00               7                   -1.00               -1.00               213.00              13744072            
26			497                 1                   344.00              -1.00               -1.00               4                   -1.00               -1.00               344.00              13845752            
27			497                 1                   232.00              -1.00               -1.00               5                   -1.00               -1.00               232.00              13755064            
28			497                 1                   203.00              -1.00               -1.00               5                   -1.00               -1.00               203.00              13737528            
29			497                 1                   378.00              -1.00               -1.00               8                   -1.00               -1.00               378.00              13885232            
30			497                 1                   202.00              -1.00               -1.00               4                   -1.00               -1.00               202.00              13705248            
31			497                 1                   204.00              -1.00               -1.00               4                   -1.00               -1.00               204.00              13709976            
32			497                 1                   363.00              -1.00               -1.00               6                   -1.00               -1.00               363.00              13875984            
33			497                 2                   356.00              -1.00               -1.00               5                   -1.00               -1.00               356.00              13866992            
34			497                 1                   381.00              -1.00               -1.00               10                  -1.00               -1.00               381.00              13902152            
35			497                 1                   378.00              -1.00               -1.00               11                  -1.00               -1.00               378.00              13892736            
36			497                 1                   379.00              -1.00               -1.00               12                  -1.00               -1.00               379.00              13897760            
37			497                 1                   364.00              -1.00               -1.00               8                   -1.00               -1.00               364.00              13887816            
38			497                 1                   269.00              -1.00               -1.00               4                   -1.00               -1.00               269.00              13709592            
39			497                 1                   375.00              -1.00               -1.00               9                   -1.00               -1.00               375.00              13884800            
40			497                 1                   211.00              -1.00               -1.00               5                   -1.00               -1.00               211.00              13737504            
41			497                 1                   357.00              -1.00               -1.00               6                   -1.00               -1.00               357.00              13879160            
42			497                 1                   380.00              -1.00               -1.00               11                  -1.00               -1.00               380.00              13918448            
43			497                 1                   409.00              -1.00               -1.00               9                   -1.00               -1.00               409.00              13895024            
44			497                 1                   378.00              -1.00               -1.00               11                  -1.00               -1.00               378.00              13903696            
