1			497                 1                   433.00              418.00              15.00               46                  17.11               3.41                157.00              23                  
2			497                 1                   530.00              504.00              26.00               43                  14.42               4.02                173.00              23                  
3			497                 1                   259.00              247.00              12.00               15                  3.73                5.80                87.00               22                  
4			497                 2                   238.00              224.00              14.00               16                  2.75                4.13                66.00               12                  
5			497                 1                   239.00              228.00              11.00               18                  4.44                4.06                73.00               22                  
6			497                 1                   265.00              249.00              16.00               22                  5.82                4.09                90.00               23                  
7			497                 2                   220.00              208.00              12.00               16                  2.75                3.69                59.00               22                  
8			497                 1                   292.00              274.00              18.00               28                  7.89                3.54                99.00               23                  
9			497                 3                   491.00              375.00              116.00              62                  10.39               3.42                212.00              33                  
10			497                 1                   248.00              237.00              11.00               14                  3.29                5.36                75.00               22                  
11			497                 3                   661.00              477.00              184.00              76                  13.05               3.87                294.00              33                  
12			497                 1                   289.00              275.00              14.00               25                  7.60                3.80                95.00               23                  
13			497                 1                   235.00              227.00              8.00                14                  3.86                5.14                72.00               22                  
14			497                 1                   460.00              447.00              13.00               40                  14.95               4.50                180.00              23                  
15			497                 1                   203.00              203.00              0.00                7                   1.29                8.71                61.00               12                  
16			497                 1                   197.00              197.00              0.00                7                   1.29                7.86                55.00               12                  
17			497                 1                   368.00              351.00              17.00               26                  8.27                3.88                101.00              23                  
18			497                 1                   194.00              194.00              0.00                3                   0.67                16.67               50.00               12                  
19			497                 1                   215.00              212.00              3.00                12                  3.17                5.08                61.00               12                  
20			497                 1                   335.00              325.00              10.00               29                  10.93               4.34                126.00              23                  
21			497                 1                   314.00              301.00              13.00               33                  11.42               3.27                108.00              23                  
22			497                 1                   200.00              198.00              2.00                8                   2.00                6.63                53.00               12                  
23			497                 1                   222.00              216.00              6.00                12                  2.75                5.50                66.00               12                  
24			497                 1                   393.00              373.00              20.00               41                  14.24               3.54                145.00              23                  
25			497                 1                   361.00              353.00              8.00                11                  2.27                9.36                103.00              12                  
26			497                 1                   279.00              273.00              6.00                16                  5.25                5.19                83.00               23                  
27			497                 1                   292.00              281.00              11.00               20                  5.80                4.60                92.00               23                  
28			497                 1                   196.00              196.00              0.00                5                   1.00                10.40               52.00               12                  
29			497                 1                   263.00              252.00              11.00               21                  6.43                4.00                84.00               23                  
30			497                 1                   197.00              197.00              0.00                5                   1.00                10.80               54.00               12                  
31			497                 1                   215.00              210.00              5.00                11                  2.27                5.82                64.00               12                  
32			497                 1                   189.00              189.00              0.00                3                   0.67                16.00               48.00               12                  
33			497                 2                   207.00              199.00              8.00                12                  2.00                4.67                56.00               12                  
34			497                 1                   393.00              374.00              19.00               38                  13.53               3.95                150.00              23                  
35			497                 1                   239.00              232.00              7.00                18                  4.83                4.22                76.00               23                  
36			497                 1                   216.00              211.00              5.00                12                  2.75                5.42                65.00               12                  
37			497                 1                   245.00              240.00              5.00                18                  5.50                4.44                80.00               23                  
38			497                 1                   205.00              203.00              2.00                9                   2.44                6.00                54.00               12                  
39			497                 1                   198.00              198.00              0.00                7                   1.29                7.71                54.00               12                  
40			497                 1                   202.00              202.00              0.00                5                   1.00                10.40               52.00               12                  
41			497                 1                   193.00              193.00              0.00                5                   1.00                10.00               50.00               12                  
42			497                 1                   304.00              286.00              18.00               30                  8.83                3.43                103.00              23                  
43			497                 1                   322.00              308.00              14.00               25                  8.52                4.28                107.00              23                  
44			497                 1                   235.00              230.00              5.00                11                  2.27                6.36                70.00               12                  
