1			313                 2                   2290.00             281.00              2009.00             314                 157.42              3.38                1060.00             445                 
2			313                 1                   2261.00             281.00              1980.00             314                 156.95              3.31                1038.00             444                 
3			313                 3                   2274.00             279.00              1995.00             314                 158.06              3.38                1061.00             445                 
4			313                 1                   2252.00             280.00              1972.00             314                 156.97              3.26                1025.00             445                 
5			313                 5                   2389.00             281.00              2108.00             314                 158.91              3.51                1103.00             455                 
6			313                 1                   2254.00             282.00              1972.00             314                 156.63              3.30                1035.00             444                 
7			313                 1                   2360.00             282.00              2078.00             314                 156.80              3.45                1082.00             445                 
8			313                 1                   2272.00             281.00              1991.00             314                 156.80              3.26                1025.00             444                 
9			313                 1                   2329.00             286.00              2043.00             314                 156.76              3.40                1068.00             445                 
10			313                 1                   2251.00             278.00              1973.00             314                 156.76              3.29                1033.00             445                 
11			313                 1                   2270.00             283.00              1987.00             314                 156.82              3.32                1043.00             444                 
12			313                 6                   2302.00             280.00              2022.00             314                 159.74              3.44                1080.00             455                 
13			313                 1                   2271.00             285.00              1986.00             314                 156.76              3.31                1040.00             444                 
14			313                 1                   2263.00             280.00              1983.00             314                 157.44              3.28                1029.00             444                 
15			313                 1                   2268.00             278.00              1990.00             314                 157.44              3.31                1039.00             445                 
16			313                 1                   2419.00             280.00              2139.00             314                 157.44              3.51                1101.00             445                 
17			313                 2                   2379.00             281.00              2098.00             314                 158.06              3.50                1099.00             455                 
18			313                 1                   2279.00             282.00              1997.00             314                 157.30              3.34                1050.00             444                 
19			313                 1                   2266.00             281.00              1985.00             314                 157.26              3.30                1035.00             444                 
20			313                 1                   2323.00             279.00              2044.00             314                 157.26              3.40                1068.00             445                 
21			313                 3                   2296.00             281.00              2015.00             314                 158.51              3.36                1054.00             455                 
22			313                 1                   2279.00             280.00              1999.00             314                 157.12              3.32                1042.00             444                 
23			313                 1                   2293.00             281.00              2012.00             314                 156.90              3.36                1056.00             445                 
24			313                 1                   2289.00             288.00              2001.00             314                 157.00              3.33                1045.00             444                 
25			313                 1                   2249.00             280.00              1969.00             314                 157.00              3.28                1031.00             444                 
26			313                 1                   2261.00             278.00              1983.00             314                 156.62              3.31                1039.00             445                 
27			313                 1                   2260.00             279.00              1981.00             314                 157.09              3.24                1018.00             444                 
28			313                 1                   2366.00             280.00              2086.00             314                 157.10              3.39                1064.00             444                 
29			313                 1                   2258.00             279.00              1979.00             314                 156.66              3.29                1032.00             444                 
30			313                 3                   2341.00             280.00              2061.00             314                 158.40              3.44                1081.00             445                 
31			313                 4                   2305.00             281.00              2024.00             314                 159.21              3.35                1053.00             455                 
32			313                 1                   2255.00             280.00              1975.00             314                 156.87              3.25                1022.00             444                 
33			313                 1                   2267.00             279.00              1988.00             314                 156.83              3.27                1026.00             444                 
