1			313                 2                   222.00              198.00              24.00               11                  1.36                5.18                57.00               12                  
2			313                 1                   217.00              194.00              23.00               11                  1.36                5.18                57.00               12                  
3			313                 3                   3140.00             367.00              2773.00             303                 19.35               3.08                933.00              383                 
4			313                 1                   229.00              206.00              23.00               14                  2.36                4.50                63.00               12                  
5			313                 5                   3413.00             297.00              3116.00             271                 7.37                3.52                955.00              352                 
6			313                 1                   222.00              198.00              24.00               11                  1.36                5.27                58.00               12                  
7			313                 1                   197.00              188.00              9.00                5                   0.60                9.80                49.00               12                  
8			313                 1                   210.00              195.00              15.00               8                   1.00                6.88                55.00               12                  
9			313                 1                   230.00              203.00              27.00               13                  2.00                4.54                59.00               12                  
10			313                 1                   202.00              193.00              9.00                6                   1.00                8.33                50.00               12                  
11			313                 1                   287.00              264.00              23.00               23                  8.09                4.30                99.00               23                  
12			313                 6                   3461.00             307.00              3154.00             279                 7.40                3.43                958.00              352                 
13			313                 1                   252.00              225.00              27.00               19                  4.42                3.89                74.00               22                  
14			313                 1                   194.00              185.00              9.00                5                   0.60                9.60                48.00               12                  
15			313                 1                   195.00              184.00              11.00               5                   0.60                9.80                49.00               12                  
16			313                 1                   198.00              189.00              9.00                6                   1.00                8.50                51.00               12                  
17			313                 2                   232.00              199.00              33.00               14                  1.71                4.79                67.00               12                  
18			313                 1                   207.00              198.00              9.00                8                   1.88                7.00                56.00               12                  
19			313                 1                   208.00              199.00              9.00                8                   1.88                6.88                55.00               12                  
20			313                 1                   212.00              202.00              10.00               9                   2.33                6.56                59.00               12                  
21			313                 3                   3605.00             303.00              3302.00             273                 7.36                3.60                984.00              352                 
22			313                 1                   219.00              203.00              16.00               8                   1.00                7.25                58.00               12                  
23			313                 1                   216.00              206.00              10.00               6                   1.00                8.67                52.00               12                  
24			313                 1                   331.00              270.00              61.00               29                  6.48                3.97                115.00              23                  
25			313                 1                   293.00              228.00              65.00               24                  3.00                4.00                96.00               22                  
26			313                 1                   328.00              294.00              34.00               26                  9.69                4.54                118.00              23                  
27			313                 1                   278.00              238.00              40.00               17                  2.65                4.65                79.00               12                  
28			313                 1                   263.00              242.00              21.00               13                  2.92                6.00                78.00               12                  
29			313                 1                   200.00              189.00              11.00               5                   0.60                10.00               50.00               12                  
30			313                 3                   339.00              236.00              103.00              33                  4.03                3.36                111.00              22                  
31			313                 4                   3759.00             322.00              3437.00             279                 7.40                3.73                1042.00             352                 
32			313                 1                   258.00              238.00              20.00               18                  5.33                4.56                82.00               22                  
33			313                 1                   200.00              190.00              10.00               5                   0.60                9.80                49.00               12                  
