1			1262                1                   15091.00            395.00              14696.00            1207                15.16               2.08                2506.00             483                 
2			1262                3                   16230.00            436.00              15794.00            1207                15.16               2.32                2805.00             524                 
3			1262                1                   15151.00            407.00              14744.00            1200                8.18                1.98                2376.00             483                 
4			1262                1                   15567.00            397.00              15170.00            1200                8.18                1.99                2391.00             482                 
5			1262                1                   15411.00            407.00              15004.00            1200                8.18                2.13                2555.00             482                 
6			1262                1                   15263.00            409.00              14854.00            1200                8.18                2.08                2492.00             445                 
7			1262                1                   15214.00            398.00              14816.00            1200                8.18                1.94                2327.00             480                 
8			1262                4                   15414.00            397.00              15017.00            1200                8.18                2.06                2474.00             484                 
9			1262                4                   15349.00            399.00              14950.00            1200                8.18                2.09                2503.00             484                 
10			1262                3                   15168.00            400.00              14768.00            1207                15.16               1.99                2404.00             523                 
11			1262                3                   15214.00            404.00              14810.00            1207                15.16               2.01                2428.00             486                 
12			1262                3                   15153.00            397.00              14756.00            1207                15.16               2.02                2436.00             523                 
13			1262                3                   15250.00            403.00              14847.00            1207                15.16               2.00                2416.00             523                 
14			1262                3                   14944.00            397.00              14547.00            1207                15.16               1.98                2384.00             484                 
15			1262                3                   15212.00            397.00              14815.00            1207                15.16               1.99                2397.00             484                 
16			1262                3                   15102.00            401.00              14701.00            1207                15.16               2.00                2410.00             483                 
17			1262                3                   15316.00            400.00              14916.00            1207                15.16               2.00                2418.00             484                 
18			1262                3                   15133.00            404.00              14729.00            1207                15.16               1.99                2403.00             487                 
19			1262                3                   15079.00            395.00              14684.00            1207                15.16               1.99                2399.00             486                 
20			1262                3                   15081.00            399.00              14682.00            1202                10.23               2.09                2513.00             484                 
21			1262                3                   14912.00            396.00              14516.00            1207                15.16               2.09                2527.00             523                 
22			1262                3                   14924.00            397.00              14527.00            1207                15.16               2.07                2495.00             486                 
23			1262                3                   15077.00            401.00              14676.00            1212                20.10               2.00                2418.00             490                 
24			1262                3                   14935.00            396.00              14539.00            1207                15.16               2.00                2416.00             484                 
25			1262                3                   15149.00            397.00              14752.00            1207                15.16               2.06                2482.00             486                 
26			1262                3                   15078.00            400.00              14678.00            1207                15.16               2.01                2422.00             523                 
27			1262                3                   15275.00            402.00              14873.00            1207                15.16               2.03                2445.00             484                 
28			1262                3                   14928.00            396.00              14532.00            1207                15.16               1.98                2384.00             484                 
29			1262                3                   15158.00            400.00              14758.00            1207                15.16               2.00                2409.00             484                 
30			1262                3                   14989.00            395.00              14594.00            1207                15.16               2.09                2525.00             523                 
31			1262                3                   15015.00            400.00              14615.00            1207                15.16               2.00                2415.00             486                 
32			1262                3                   15093.00            402.00              14691.00            1207                15.16               2.00                2420.00             484                 
33			1262                3                   15005.00            397.00              14608.00            1207                15.16               1.96                2369.00             484                 
34			1262                3                   15235.00            401.00              14834.00            1207                15.16               1.99                2398.00             523                 
35			1262                3                   15164.00            406.00              14758.00            1207                15.16               2.01                2427.00             484                 
36			1262                3                   15634.00            399.00              15235.00            1205                13.30               2.10                2531.00             484                 
37			1262                3                   15310.00            401.00              14909.00            1207                15.16               1.99                2400.00             486                 
38			1262                3                   15109.00            396.00              14713.00            1207                15.16               2.07                2499.00             486                 
39			1262                3                   15060.00            401.00              14659.00            1217                25.00               2.05                2494.00             565                 
