1			624                 2                   276.00              225.00              51.00               18                  2.33                4.67                84.00               12                  
2			624                 1                   215.00              201.00              14.00               12                  2.50                4.67                56.00               12                  
3			624                 1                   253.00              214.00              39.00               18                  2.33                4.17                75.00               12                  
4			624                 1                   238.00              213.00              25.00               14                  2.36                4.50                63.00               12                  
5			624                 1                   201.00              193.00              8.00                6                   1.00                8.50                51.00               12                  
6			624                 1                   223.00              204.00              19.00               12                  1.67                5.17                62.00               12                  
7			624                 1                   227.00              202.00              25.00               11                  1.36                5.73                63.00               12                  
8			624                 1                   212.00              203.00              9.00                9                   2.33                6.33                57.00               12                  
9			624                 1                   201.00              191.00              10.00               5                   0.60                9.60                48.00               12                  
10			624                 1                   225.00              201.00              24.00               11                  1.36                5.55                61.00               12                  
11			624                 1                   216.00              197.00              19.00               12                  1.67                4.75                57.00               12                  
12			624                 1                   213.00              198.00              15.00               8                   1.00                6.88                55.00               12                  
13			624                 5                   34690.00            712.00              33978.00            574                 7.25                12.00               6889.00             726                 
14			624                 2                   307.00              234.00              73.00               25                  3.28                4.04                101.00              12                  
15			624                 1                   202.00              194.00              8.00                6                   1.00                8.50                51.00               12                  
16			624                 2                   339.00              235.00              104.00              32                  3.75                3.69                118.00              12                  
17			624                 1                   240.00              229.00              11.00               17                  5.47                4.00                68.00               12                  
18			624                 1                   276.00              233.00              43.00               22                  3.64                3.86                85.00               12                  
19			624                 1                   284.00              236.00              48.00               21                  3.29                4.05                85.00               12                  
20			624                 1                   244.00              208.00              36.00               15                  2.00                4.60                69.00               12                  
21			624                 1                   257.00              210.00              47.00               17                  2.06                4.18                71.00               12                  
22			624                 1                   220.00              211.00              9.00                8                   1.88                7.13                57.00               12                  
23			624                 1                   224.00              202.00              22.00               11                  1.36                5.64                62.00               12                  
24			624                 1                   203.00              194.00              9.00                6                   1.00                8.67                52.00               12                  
25			624                 1                   256.00              225.00              31.00               20                  3.75                3.55                71.00               12                  
26			624                 1                   198.00              189.00              9.00                5                   0.60                10.20               51.00               12                  
27			624                 1                   226.00              206.00              20.00               14                  2.36                4.43                62.00               12                  
28			624                 1                   200.00              192.00              8.00                6                   1.00                8.33                50.00               12                  
29			624                 1                   225.00              210.00              15.00               13                  2.92                4.62                60.00               12                  
30			624                 1                   197.00              188.00              9.00                5                   0.60                9.80                49.00               12                  
31			624                 1                   196.00              186.00              10.00               5                   0.60                9.40                47.00               12                  
32			624                 1                   210.00              197.00              13.00               8                   1.00                6.75                54.00               12                  
33			624                 1                   217.00              203.00              14.00               9                   1.33                6.11                55.00               12                  
34			624                 1                   256.00              219.00              37.00               19                  2.63                3.74                71.00               12                  
35			624                 1                   214.00              207.00              7.00                9                   2.33                6.44                58.00               12                  
36			624                 1                   200.00              190.00              10.00               5                   0.60                9.60                48.00               12                  
37			624                 1                   198.00              188.00              10.00               5                   0.60                9.40                47.00               12                  
38			624                 1                   250.00              238.00              12.00               15                  5.27                4.73                71.00               12                  
39			624                 1                   233.00              202.00              31.00               14                  1.71                4.64                65.00               12                  
40			624                 1                   197.00              189.00              8.00                5                   0.60                9.60                48.00               12                  
41			624                 1                   236.00              213.00              23.00               13                  2.00                4.77                62.00               12                  
42			624                 1                   255.00              210.00              45.00               20                  2.40                3.70                74.00               12                  
43			624                 1                   203.00              195.00              8.00                6                   1.00                9.00                54.00               12                  
44			624                 1                   196.00              188.00              8.00                5                   0.60                10.60               53.00               12                  
45			624                 1                   203.00              194.00              9.00                6                   1.00                8.67                52.00               12                  
46			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
47			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
48			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
49			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
50			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
51			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
52			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
53			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
54			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
55			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
56			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
57			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
58			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
59			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
60			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
61			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
62			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
63			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
64			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
65			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
66			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
67			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
