1			1238                1                   20505.00            495.00              20010.00            1239                619.09              6.84                8473.00             2396                
2			1238                1                   20309.00            495.00              19814.00            1239                619.02              6.93                8590.00             2401                
3			1238                1                   20022.00            514.00              19508.00            1239                619.23              10.20               12639.00            2424                
4			1238                1                   20491.00            494.00              19997.00            1239                619.54              7.16                8876.00             2403                
5			1238                1                   20382.00            492.00              19890.00            1239                619.12              10.43               12921.00            2403                
6			1238                1                   19848.00            494.00              19354.00            1239                619.57              6.87                8516.00             2400                
7			1238                1                   20764.00            500.00              20264.00            1239                619.36              10.59               13122.00            2403                
8			1238                1                   20465.00            497.00              19968.00            1239                619.14              6.91                8565.00             2422                
9			1238                1                   20037.00            494.00              19543.00            1239                619.41              10.10               12515.00            2403                
10			1238                1                   19974.00            498.00              19476.00            1239                619.25              9.99                12373.00            2403                
11			1238                2                   20136.00            501.00              19635.00            1239                619.92              7.00                8676.00             2405                
12			1238                1                   20961.00            496.00              20465.00            1239                619.14              10.86               13458.00            2425                
13			1238                1                   20383.00            501.00              19882.00            1239                619.35              10.33               12804.00            2422                
14			1238                1                   20727.00            495.00              20232.00            1239                619.35              10.61               13151.00            2403                
15			1238                1                   19750.00            497.00              19253.00            1239                619.58              9.84                12197.00            2401                
16			1238                1                   20625.00            499.00              20126.00            1239                619.23              10.30               12767.00            2422                
17			1238                1                   20011.00            494.00              19517.00            1239                619.49              10.08               12491.00            2424                
18			1238                1                   22076.00            494.00              21582.00            1239                619.57              11.74               14552.00            2416                
19			1238                1                   20150.00            544.00              19606.00            1239                619.43              7.08                8773.00             2396                
20			1238                1                   20868.00            489.00              20379.00            1239                619.57              7.11                8814.00             2403                
21			1238                1                   20725.00            489.00              20236.00            1239                619.42              10.65               13200.00            2424                
22			1238                1                   20075.00            505.00              19570.00            1239                619.52              9.99                12379.00            2424                
23			1238                1                   19596.00            489.00              19107.00            1239                619.48              9.87                12234.00            2403                
24			1238                1                   20026.00            542.00              19484.00            1239                619.40              10.08               12489.00            2401                
25			1238                1                   20043.00            492.00              19551.00            1239                619.24              10.17               12600.00            2403                
26			1238                1                   19930.00            495.00              19435.00            1239                619.27              10.05               12450.00            2422                
