1			321                 1                   201.00              194.00              7.00                7                   2.00                7.29                51.00               12                  
2			321                 3                   1929.00             297.00              1632.00             327                 159.52              2.67                873.00              270                 
3			321                 3                   1928.00             295.00              1633.00             327                 159.27              2.70                884.00              270                 
4			321                 1                   192.00              188.00              4.00                3                   0.67                15.67               47.00               12                  
5			321                 3                   1930.00             292.00              1638.00             327                 159.44              2.73                892.00              270                 
6			321                 1                   190.00              186.00              4.00                3                   0.67                16.00               48.00               12                  
7			321                 1                   193.00              188.00              5.00                3                   0.67                15.33               46.00               12                  
8			321                 3                   1951.00             294.00              1657.00             327                 160.46              2.76                901.00              270                 
9			321                 1                   194.00              190.00              4.00                5                   1.20                9.80                49.00               12                  
10			321                 3                   1943.00             293.00              1650.00             327                 159.63              2.75                900.00              270                 
11			321                 1                   212.00              204.00              8.00                9                   2.22                6.33                57.00               12                  
12			321                 3                   1952.00             294.00              1658.00             327                 159.35              2.76                902.00              270                 
13			321                 1                   222.00              209.00              13.00               11                  3.00                5.55                61.00               12                  
14			321                 1                   191.00              187.00              4.00                3                   0.67                15.67               47.00               12                  
15			321                 1                   207.00              202.00              5.00                5                   1.40                10.40               52.00               12                  
16			321                 3                   1934.00             292.00              1642.00             327                 159.09              2.77                906.00              260                 
17			321                 1                   197.00              193.00              4.00                3                   0.67                16.00               48.00               12                  
18			321                 3                   1922.00             292.00              1630.00             327                 159.17              2.70                883.00              260                 
19			321                 1                   221.00              208.00              13.00               11                  2.73                5.64                62.00               12                  
20			321                 3                   1944.00             292.00              1652.00             327                 159.41              2.76                902.00              270                 
21			321                 1                   192.00              188.00              4.00                3                   0.67                15.33               46.00               12                  
22			321                 3                   1927.00             290.00              1637.00             327                 159.76              2.70                883.00              270                 
23			321                 1                   203.00              195.00              8.00                9                   2.33                6.00                54.00               12                  
24			321                 3                   1924.00             292.00              1632.00             327                 158.90              2.72                889.00              260                 
25			321                 1                   218.00              203.00              15.00               13                  3.23                4.54                59.00               12                  
26			321                 3                   1948.00             295.00              1653.00             327                 159.19              2.76                901.00              260                 
