1			321                 1                   196.00              196.00              0.00                7                   1.29                7.43                52.00               12                  
2			321                 3                   728.00              292.00              436.00              69                  55.49               3.54                244.00              43                  
3			321                 3                   687.00              298.00              389.00              70                  37.30               3.30                231.00              43                  
4			321                 1                   188.00              188.00              0.00                3                   0.67                15.67               47.00               12                  
5			321                 3                   666.00              293.00              373.00              70                  38.83               3.17                222.00              43                  
6			321                 1                   186.00              186.00              0.00                3                   0.67                16.33               49.00               12                  
7			321                 1                   188.00              188.00              0.00                3                   0.67                15.33               46.00               12                  
8			321                 3                   540.00              293.00              247.00              66                  24.91               2.71                179.00              33                  
9			321                 1                   191.00              189.00              2.00                5                   1.00                10.00               50.00               12                  
10			321                 3                   758.00              293.00              465.00              80                  50.60               3.29                263.00              43                  
11			321                 1                   208.00              204.00              4.00                9                   2.00                6.33                57.00               12                  
12			321                 3                   759.00              293.00              466.00              88                  43.39               2.88                253.00              54                  
13			321                 1                   210.00              208.00              2.00                9                   2.44                6.33                57.00               12                  
14			321                 1                   187.00              187.00              0.00                3                   0.67                15.67               47.00               12                  
15			321                 1                   195.00              195.00              0.00                5                   1.00                9.80                49.00               12                  
16			321                 3                   715.00              292.00              423.00              78                  45.21               3.01                235.00              54                  
17			321                 1                   189.00              189.00              0.00                3                   0.67                15.33               46.00               12                  
18			321                 3                   735.00              292.00              443.00              86                  43.13               2.92                251.00              54                  
19			321                 1                   210.00              206.00              4.00                11                  2.27                5.55                61.00               12                  
20			321                 3                   747.00              291.00              456.00              84                  45.27               3.04                255.00              43                  
21			321                 1                   185.00              185.00              0.00                3                   0.67                15.00               45.00               12                  
22			321                 3                   727.00              293.00              434.00              70                  52.84               3.51                246.00              43                  
23			321                 1                   199.00              195.00              4.00                9                   2.00                6.00                54.00               12                  
24			321                 3                   566.00              292.00              274.00              69                  25.61               2.77                191.00              33                  
25			321                 1                   208.00              203.00              5.00                12                  2.75                4.58                55.00               12                  
26			321                 3                   510.00              292.00              218.00              56                  23.63               3.11                174.00              33                  
27			321                 1                   194.00              194.00              0.00                7                   1.29                7.43                52.00               12                  
28			321                 1                   202.00              199.00              3.00                8                   2.00                6.50                52.00               12                  
29			321                 1                   186.00              186.00              0.00                3                   0.67                15.67               47.00               12                  
30			321                 3                   743.00              293.00              450.00              86                  43.30               2.95                254.00              43                  
31			321                 1                   195.00              195.00              0.00                5                   1.00                10.00               50.00               12                  
32			321                 3                   732.00              290.00              442.00              87                  41.30               2.87                250.00              43                  
33			321                 1                   193.00              193.00              0.00                5                   1.00                10.00               50.00               12                  
34			321                 3                   643.00              294.00              349.00              65                  38.09               3.38                220.00              33                  
35			321                 1                   207.00              204.00              3.00                8                   2.00                7.38                59.00               12                  
36			321                 3                   649.00              294.00              355.00              69                  38.22               3.13                216.00              33                  
37			321                 1                   192.00              192.00              0.00                5                   1.00                9.80                49.00               12                  
38			321                 3                   675.00              294.00              381.00              77                  36.47               2.97                229.00              54                  
39			321                 1                   185.00              185.00              0.00                3                   0.67                15.33               46.00               12                  
40			321                 3                   741.00              297.00              444.00              74                  50.26               3.35                248.00              54                  
41			321                 1                   188.00              188.00              0.00                5                   1.00                9.80                49.00               12                  
42			321                 3                   753.00              291.00              462.00              86                  45.29               3.02                260.00              43                  
43			321                 1                   215.00              215.00              0.00                7                   1.29                9.00                63.00               12                  
44			321                 3                   757.00              303.00              454.00              81                  44.36               3.17                257.00              43                  
45			321                 1                   205.00              202.00              3.00                8                   2.00                7.38                59.00               12                  
46			321                 3                   761.00              289.00              472.00              86                  46.63               3.03                261.00              54                  
47			321                 1                   187.00              187.00              0.00                3                   0.67                16.00               48.00               12                  
48			321                 3                   483.00              293.00              190.00              54                  22.81               3.06                165.00              23                  
49			321                 1                   207.00              204.00              3.00                8                   2.00                7.13                57.00               12                  
50			321                 3                   800.00              292.00              508.00              99                  45.65               2.85                282.00              54                  
51			321                 1                   187.00              187.00              0.00                3                   0.67                15.67               47.00               12                  
52			321                 3                   765.00              297.00              468.00              80                  50.39               3.26                261.00              43                  
53			321                 1                   191.00              190.00              1.00                5                   1.00                10.20               51.00               12                  
54			321                 3                   737.00              297.00              440.00              75                  48.04               3.28                246.00              54                  
55			321                 1                   197.00              197.00              0.00                7                   1.29                7.71                54.00               12                  
56			321                 3                   592.00              289.00              303.00              60                  34.48               3.33                200.00              33                  
57			321                 1                   203.00              201.00              2.00                9                   2.44                5.89                53.00               12                  
58			321                 1                   193.00              193.00              0.00                7                   1.29                7.57                53.00               12                  
