1			952                 3                   250.00              228.00              22.00               15                  4.13                4.47                67.00               12                  
2			952                 3                   7671.00             432.00              7239.00             956                 476.68              2.45                2346.00             731                 
3			952                 1                   231.00              217.00              14.00               11                  2.73                5.36                59.00               12                  
4			952                 3                   7606.00             431.00              7175.00             956                 476.55              2.26                2157.00             713                 
5			952                 1                   215.00              207.00              8.00                7                   2.00                7.14                50.00               12                  
6			952                 5                   7775.00             453.00              7322.00             956                 477.06              2.47                2363.00             721                 
7			952                 3                   7854.00             435.00              7419.00             956                 476.68              2.55                2437.00             721                 
8			952                 4                   7481.00             443.00              7038.00             959                 474.49              2.29                2193.00             727                 
9			952                 6                   8011.00             450.00              7561.00             958                 477.82              2.72                2608.00             818                 
10			952                 5                   8117.00             452.00              7665.00             958                 476.66              2.85                2732.00             821                 
11			952                 9                   8510.00             452.00              8058.00             957                 479.38              3.05                2923.00             907                 
12			952                 1                   208.00              204.00              4.00                5                   1.40                9.80                49.00               12                  
13			952                 4                   7365.00             441.00              6924.00             960                 474.57              2.31                2215.00             716                 
14			952                 4                   8007.00             440.00              7567.00             957                 475.94              2.64                2522.00             768                 
15			952                 2                   213.00              208.00              5.00                5                   1.40                10.60               53.00               12                  
16			952                 5                   8230.00             448.00              7782.00             958                 476.61              2.83                2711.00             831                 
17			952                 3                   8168.00             445.00              7723.00             958                 475.26              2.60                2490.00             770                 
18			952                 4                   8080.00             446.00              7634.00             958                 475.23              2.74                2623.00             760                 
19			952                 2                   232.00              224.00              8.00                7                   1.86                8.86                62.00               12                  
20			952                 3                   237.00              225.00              12.00               7                   2.14                9.86                69.00               12                  
21			952                 8                   8329.00             458.00              7871.00             958                 477.29              3.01                2887.00             875                 
22			952                 6                   8687.00             508.00              8179.00             958                 475.93              3.22                3084.00             853                 
23			952                 5                   8191.00             453.00              7738.00             958                 475.19              2.84                2725.00             812                 
24			952                 6                   8051.00             449.00              7602.00             959                 474.61              2.84                2728.00             800                 
25			952                 8                   8580.00             458.00              8122.00             958                 476.39              3.10                2970.00             838                 
26			952                 5                   7863.00             446.00              7417.00             958                 475.50              2.68                2567.00             772                 
27			952                 3                   8110.00             460.00              7650.00             957                 475.29              2.75                2633.00             771                 
28			952                 8                   8379.00             454.00              7925.00             958                 477.06              3.08                2955.00             867                 
29			952                 4                   8368.00             458.00              7910.00             957                 475.97              2.99                2859.00             817                 
30			952                 2                   245.00              234.00              11.00               7                   2.14                8.71                61.00               12                  
31			952                 8                   8422.00             459.00              7963.00             956                 477.69              3.20                3063.00             886                 
32			952                 5                   8020.00             448.00              7572.00             958                 476.32              2.78                2666.00             788                 
33			952                 1                   201.00              197.00              4.00                3                   0.67                15.33               46.00               12                  
34			952                 4                   8092.00             447.00              7645.00             957                 475.98              2.85                2726.00             797                 
35			952                 5                   8089.00             440.00              7649.00             958                 475.95              2.84                2718.00             807                 
36			952                 1                   280.00              246.00              34.00               25                  6.24                3.56                89.00               12                  
37			952                 1                   228.00              216.00              12.00               13                  3.54                4.85                63.00               12                  
38			952                 3                   7628.00             452.00              7176.00             967                 470.59              2.30                2227.00             715                 
39			952                 1                   210.00              206.00              4.00                5                   1.20                10.60               53.00               12                  
40			952                 1                   265.00              231.00              34.00               21                  5.29                3.86                81.00               12                  
41			952                 1                   270.00              242.00              28.00               17                  4.53                4.88                83.00               12                  
42			952                 6                   8777.00             455.00              8322.00             957                 476.76              3.48                3330.00             939                 
43			952                 1                   736.00              538.00              198.00              89                  22.29               3.43                305.00              33                  
44			952                 4                   7601.00             447.00              7154.00             965                 471.73              2.35                2271.00             726                 
45			952                 1                   354.00              287.00              67.00               37                  9.59                3.51                130.00              12                  
46			952                 3                   232.00              222.00              10.00               9                   2.67                6.11                55.00               12                  
47			952                 1                   303.00              256.00              47.00               31                  7.74                3.13                97.00               12                  
48			952                 1                   200.00              196.00              4.00                3                   0.67                16.00               48.00               12                  
49			952                 1                   303.00              268.00              35.00               21                  5.24                4.71                99.00               12                  
50			952                 2                   229.00              223.00              6.00                5                   1.40                10.60               53.00               12                  
51			952                 1                   248.00              228.00              20.00               17                  4.53                4.18                71.00               12                  
52			952                 3                   350.00              282.00              68.00               31                  8.58                3.97                123.00              12                  
53			952                 3                   7654.00             441.00              7213.00             959                 474.59              2.29                2197.00             716                 
54			952                 1                   254.00              229.00              25.00               15                  3.73                4.93                74.00               12                  
55			952                 1                   225.00              210.00              15.00               11                  2.73                5.55                61.00               12                  
56			952                 1                   209.00              204.00              5.00                5                   1.40                10.20               51.00               12                  
57			952                 3                   7537.00             441.00              7096.00             957                 475.94              2.31                2211.00             771                 
58			952                 1                   265.00              250.00              15.00               11                  2.73                6.27                69.00               12                  
59			952                 3                   7576.00             445.00              7131.00             958                 474.56              2.24                2144.00             764                 
60			952                 1                   293.00              255.00              38.00               23                  6.00                4.04                93.00               12                  
61			952                 4                   7444.00             440.00              7004.00             959                 473.31              2.29                2194.00             735                 
62			952                 3                   7636.00             433.00              7203.00             956                 476.59              2.27                2166.00             769                 
63			952                 1                   223.00              213.00              10.00               9                   2.33                6.11                55.00               12                  
64			952                 3                   232.00              223.00              9.00                7                   2.14                7.86                55.00               12                  
65			952                 1                   255.00              230.00              25.00               17                  4.29                4.06                69.00               12                  
66			952                 3                   7717.00             432.00              7285.00             956                 476.63              2.32                2214.00             752                 
67			952                 1                   201.00              198.00              3.00                3                   0.67                15.00               45.00               12                  
68			952                 3                   7359.00             435.00              6924.00             957                 474.95              2.18                2091.00             765                 
69			952                 1                   230.00              217.00              13.00               11                  3.00                5.36                59.00               12                  
70			952                 4                   7450.00             435.00              7015.00             958                 474.68              2.24                2149.00             765                 
71			952                 3                   7477.00             433.00              7044.00             956                 476.22              2.22                2125.00             732                 
72			952                 1                   242.00              224.00              18.00               13                  3.46                4.62                60.00               12                  
73			952                 1                   209.00              204.00              5.00                5                   1.40                10.00               50.00               12                  
74			952                 1                   346.00              280.00              66.00               45                  11.49               2.49                112.00              12                  
75			952                 3                   7494.00             462.00              7032.00             956                 475.15              2.29                2189.00             716                 
76			952                 4                   7382.00             443.00              6939.00             958                 475.08              2.24                2150.00             712                 
77			952                 1                   252.00              238.00              14.00               11                  3.00                5.64                62.00               12                  
78			952                 1                   236.00              227.00              9.00                9                   2.33                6.78                61.00               12                  
79			952                 4                   7967.00             449.00              7518.00             958                 475.26              2.74                2626.00             783                 
80			952                 4                   7752.00             454.00              7298.00             963                 472.71              2.34                2254.00             712                 
81			952                 1                   224.00              213.00              11.00               9                   2.56                6.56                59.00               12                  
82			952                 1                   262.00              230.00              32.00               25                  6.24                3.00                75.00               12                  
83			952                 3                   7400.00             430.00              6970.00             956                 475.67              2.23                2132.00             726                 
84			952                 1                   234.00              219.00              15.00               13                  3.62                4.46                58.00               12                  
85			952                 1                   253.00              230.00              23.00               17                  4.24                4.59                78.00               12                  
86			952                 6                   8540.00             445.00              8095.00             956                 476.95              3.18                3041.00             864                 
87			952                 1                   283.00              244.00              39.00               23                  6.00                3.65                84.00               12                  
88			952                 5                   7884.00             455.00              7429.00             959                 475.99              2.63                2522.00             780                 
89			952                 5                   8012.00             481.00              7531.00             956                 476.82              2.75                2630.00             746                 
90			952                 4                   7827.00             436.00              7391.00             956                 477.88              2.65                2537.00             765                 
91			952                 3                   7791.00             445.00              7346.00             956                 475.99              2.58                2468.00             744                 
92			952                 1                   199.00              195.00              4.00                3                   0.67                15.67               47.00               12                  
93			952                 6                   7941.00             458.00              7483.00             964                 473.80              2.60                2502.00             750                 
94			952                 6                   7898.00             457.00              7441.00             962                 475.26              2.63                2528.00             740                 
95			952                 3                   9125.00             461.00              8664.00             965                 472.09              2.52                2436.00             718                 
96			952                 1                   220.00              211.00              9.00                9                   2.22                6.89                62.00               12                  
97			952                 1                   296.00              259.00              37.00               23                  6.09                3.96                91.00               12                  
98			952                 1                   206.00              201.00              5.00                5                   1.40                9.80                49.00               12                  
99			952                 1                   199.00              195.00              4.00                3                   0.67                15.33               46.00               12                  
100			952                 1                   309.00              267.00              42.00               23                  5.91                4.74                109.00              12                  
