1			190                 1                   2096.00             247.00              1849.00             146                 6.78                4.42                645.00              105                 
2			190                 1                   2108.00             245.00              1863.00             146                 6.78                4.42                645.00              105                 
3			190                 1                   2116.00             244.00              1872.00             146                 6.78                4.47                652.00              105                 
4			190                 2                   2304.00             273.00              2031.00             146                 6.78                4.88                713.00              105                 
5			190                 2                   2098.00             245.00              1853.00             146                 6.78                4.45                650.00              105                 
6			190                 4                   2167.00             243.00              1924.00             146                 6.78                4.68                683.00              115                 
7			190                 3                   2112.00             243.00              1869.00             146                 6.78                4.48                654.00              105                 
8			190                 1                   2101.00             244.00              1857.00             146                 6.78                4.46                651.00              105                 
9			190                 1                   2100.00             246.00              1854.00             146                 6.78                4.40                642.00              105                 
10			190                 1                   2117.00             247.00              1870.00             146                 6.78                4.47                652.00              105                 
