1			190                 1                   202.00              -1.00               -1.00               5                   -1.00               -1.00               202.00              24476104            
2			190                 1                   201.00              -1.00               -1.00               4                   -1.00               -1.00               201.00              13682280            
3			190                 1                   204.00              -1.00               -1.00               7                   -1.00               -1.00               204.00              24471664            
4			190                 1                   220.00              -1.00               -1.00               8                   -1.00               -1.00               220.00              24482608            
5			190                 1                   212.00              -1.00               -1.00               8                   -1.00               -1.00               212.00              24480520            
6			190                 1                   208.00              -1.00               -1.00               7                   -1.00               -1.00               208.00              24485536            
7			190                 1                   190.00              -1.00               -1.00               4                   -1.00               -1.00               190.00              13677840            
8			190                 1                   197.00              -1.00               -1.00               5                   -1.00               -1.00               197.00              13714992            
9			190                 1                   199.00              -1.00               -1.00               4                   -1.00               -1.00               199.00              13682080            
10			190                 1                   194.00              -1.00               -1.00               4                   -1.00               -1.00               194.00              13684688            
