1			386                 1                   409.00              278.00              131.00              15                  68.27               8.20                123.00              23                  
2			386                 1                   391.00              280.00              111.00              14                  63.07               8.79                123.00              23                  
3			386                 1                   368.00              277.00              91.00               13                  61.38               8.23                107.00              23                  
4			386                 1                   424.00              290.00              134.00              15                  72.53               8.07                121.00              23                  
5			386                 1                   408.00              281.00              127.00              14                  70.79               8.71                122.00              23                  
6			386                 1                   411.00              282.00              129.00              16                  64.38               8.00                128.00              23                  
7			386                 1                   369.00              278.00              91.00               13                  61.85               8.23                107.00              23                  
8			386                 1                   399.00              279.00              120.00              16                  59.94               7.44                119.00              23                  
9			386                 1                   399.00              279.00              120.00              16                  59.69               7.38                118.00              23                  
10			386                 1                   406.00              277.00              129.00              15                  66.87               7.87                118.00              23                  
11			386                 1                   419.00              289.00              130.00              15                  66.87               8.40                126.00              23                  
12			386                 1                   393.00              275.00              118.00              16                  59.69               7.44                119.00              23                  
13			386                 1                   370.00              279.00              91.00               13                  61.38               8.54                111.00              23                  
14			386                 1                   374.00              287.00              87.00               12                  66.00               9.75                117.00              23                  
15			386                 1                   376.00              276.00              100.00              14                  60.43               7.86                110.00              23                  
16			386                 1                   390.00              278.00              112.00              15                  59.07               7.93                119.00              23                  
17			386                 1                   357.00              278.00              79.00               11                  69.82               9.36                103.00              23                  
18			386                 1                   388.00              277.00              111.00              14                  63.93               8.14                114.00              23                  
19			386                 1                   369.00              277.00              92.00               13                  63.23               8.08                105.00              23                  
20			386                 1                   378.00              285.00              93.00               14                  57.86               7.64                107.00              23                  
21			386                 1                   358.00              275.00              83.00               12                  65.00               8.58                103.00              23                  
22			386                 1                   414.00              284.00              130.00              14                  72.50               8.64                121.00              23                  
23			386                 1                   353.00              274.00              79.00               11                  69.82               9.36                103.00              23                  
24			386                 1                   383.00              274.00              109.00              13                  70.31               8.62                112.00              23                  
25			386                 1                   385.00              289.00              96.00               14                  59.57               8.71                122.00              23                  
26			386                 1                   366.00              275.00              91.00               13                  63.23               8.23                107.00              23                  
27			386                 1                   399.00              275.00              124.00              14                  70.57               8.43                118.00              23                  
28			386                 1                   408.00              274.00              134.00              16                  65.13               7.56                121.00              23                  
29			386                 1                   387.00              274.00              113.00              14                  65.71               8.36                117.00              23                  
30			386                 1                   382.00              288.00              94.00               15                  55.80               8.13                122.00              23                  
31			386                 1                   403.00              274.00              129.00              14                  73.79               8.57                120.00              23                  
32			386                 1                   387.00              278.00              109.00              13                  67.46               9.08                118.00              23                  
33			386                 1                   360.00              277.00              83.00               12                  65.00               8.83                106.00              23                  
34			386                 1                   362.00              279.00              83.00               12                  65.00               8.75                105.00              23                  
35			386                 1                   388.00              291.00              97.00               12                  66.00               10.00               120.00              23                  
