1			1112                1                   1432.00             1103.00             329.00              191                 47.80               3.35                640.00              105                 
2			1112                1                   838.00              572.00              266.00              101                 25.42               3.42                345.00              43                  
3			1112                1                   425.00              337.00              88.00               45                  11.58               3.56                160.00              22                  
4			1112                1                   1431.00             1019.00             412.00              183                 45.76               3.16                578.00              95                  
5			1112                1                   466.00              361.00              105.00              57                  14.42               3.09                176.00              23                  
6			1112                1                   419.00              332.00              87.00               47                  12.19               3.21                151.00              22                  
7			1112                1                   720.00              499.00              221.00              99                  24.78               2.75                272.00              33                  
8			1112                1                   931.00              653.00              278.00              115                 29.22               3.46                398.00              43                  
9			1112                1                   858.00              599.00              259.00              115                 28.80               2.87                330.00              43                  
10			1112                1                   210.00              204.00              6.00                7                   1.71                7.43                52.00               12                  
11			1112                1                   1108.00             834.00              274.00              151                 37.86               2.82                426.00              75                  
12			1112                1                   385.00              315.00              70.00               41                  10.32               3.34                137.00              12                  
13			1112                1                   1079.00             801.00              278.00              141                 35.34               2.95                416.00              64                  
14			1112                1                   1193.00             907.00              286.00              159                 39.78               3.28                522.00              74                  
15			1112                1                   988.00              735.00              253.00              125                 31.55               3.30                413.00              53                  
16			1112                1                   981.00              727.00              254.00              125                 31.66               3.46                433.00              53                  
17			1112                1                   398.00              321.00              77.00               47                  11.89               3.15                148.00              12                  
18			1112                1                   367.00              302.00              65.00               37                  9.49                3.46                128.00              12                  
19			1112                1                   1227.00             935.00              292.00              145                 36.57               3.89                564.00              75                  
20			1112                1                   489.00              382.00              107.00              57                  14.44               3.28                187.00              23                  
21			1112                1                   296.00              267.00              29.00               19                  4.74                5.47                104.00              12                  
22			1112                1                   989.00              698.00              291.00              123                 30.85               3.39                417.00              53                  
23			1112                1                   1337.00             1044.00             293.00              171                 42.77               3.61                617.00              85                  
24			1112                1                   1418.00             1122.00             296.00              167                 41.80               3.90                652.00              95                  
25			1112                1                   1421.00             1140.00             281.00              181                 45.49               3.62                655.00              105                 
26			1112                1                   656.00              513.00              143.00              77                  19.52               3.96                305.00              33                  
27			1112                1                   899.00              651.00              248.00              113                 28.47               3.58                404.00              43                  
28			1112                1                   1100.00             817.00              283.00              139                 35.19               3.32                461.00              64                  
29			1112                1                   302.00              267.00              35.00               23                  5.83                4.74                109.00              12                  
30			1112                1                   216.00              207.00              9.00                9                   2.56                6.33                57.00               12                  
31			1112                1                   1205.00             880.00              325.00              151                 37.87               3.70                559.00              75                  
32			1112                1                   1303.00             980.00              323.00              177                 44.27               3.23                572.00              84                  
33			1112                1                   1377.00             1141.00             236.00              191                 47.78               3.09                590.00              105                 
34			1112                1                   580.00              431.00              149.00              75                  19.01               2.92                219.00              23                  
35			1112                1                   812.00              556.00              256.00              103                 26.17               2.98                307.00              43                  
36			1112                1                   719.00              536.00              183.00              87                  22.22               3.78                329.00              33                  
37			1112                1                   198.00              194.00              4.00                3                   0.67                16.00               48.00               12                  
38			1112                1                   389.00              319.00              70.00               43                  10.74               3.14                135.00              12                  
39			1112                1                   511.00              401.00              110.00              55                  13.96               3.78                208.00              23                  
