#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
AA-chain_subClassOf_Molecule_EntityType                                                                                 1         1112                1              1515.00        1176.00        339.00         155            31.84               3.92                607.00              74             
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
C-gene_subClassOf_Molecule_EntityType                                                                                   2         1112                1              736.00         570.00         166.00         77             19.16               3.48                268.00              33             
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
C-sequence_subClassOf_Molecule_EntityType                                                                               3         1112                1              435.00         333.00         102.00         43             8.63                3.23                139.00              12             
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
C-transcript_subClassOf_Molecule_EntityType                                                                             4         1112                1              1443.00        1016.00        427.00         147            30.89               3.34                491.00              74             
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
D-J-C-sequence_subClassOf_Molecule_EntityType                                                                           5         1112                1              446.00         363.00         83.00          47             11.15               3.09                145.00              22             
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
D-J-C-transcript_subClassOf_Molecule_EntityType                                                                         6         1112                1              368.00         332.00         36.00          32             10.69               3.72                119.00              12             
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
D-J-gene_subClassOf_Molecule_EntityType                                                                                 7         1112                1              617.00         492.00         125.00         72             18.90               2.99                215.00              23             
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
D-gene_subClassOf_Molecule_EntityType                                                                                   8         1112                1              852.00         638.00         214.00         91             21.56               3.47                316.00              33             
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
D-sequence_subClassOf_Molecule_EntityType                                                                               9         1112                1              791.00         585.00         206.00         88             20.69               3.01                265.00              33             
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
D-transcript_subClassOf_Molecule_EntityType                                                                             10        1112                1              227.00         201.00         26.00          11             1.36                5.36                59.00               12             
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
J-C-gene_subClassOf_Molecule_EntityType                                                                                 11        1112                1              1047.00        833.00         214.00         120            26.08               3.06                367.00              54             
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
J-C-sequence_subClassOf_Molecule_EntityType                                                                             12        1112                1              371.00         317.00         54.00          37             7.24                3.22                119.00              12             
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
J-C-transcript_subClassOf_Molecule_EntityType                                                                           13        1112                1              1037.00        780.00         257.00         115            23.87               3.14                361.00              54             
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
J-gene_subClassOf_Molecule_EntityType                                                                                   14        1112                1              1134.00        886.00         248.00         132            27.47               3.41                450.00              54             
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
