1			292                 1                   2857.00             292.00              2565.00             293                 146.02              4.45                1304.00             280                 
2			292                 1                   2857.00             291.00              2566.00             293                 146.09              4.47                1309.00             280                 
3			292                 1                   2839.00             288.00              2551.00             293                 146.85              4.46                1306.00             280                 
4			292                 1                   2852.00             290.00              2562.00             293                 146.16              4.45                1305.00             280                 
5			292                 1                   2856.00             290.00              2566.00             293                 146.37              4.47                1310.00             280                 
6			292                 1                   2834.00             290.00              2544.00             293                 146.19              4.51                1321.00             280                 
7			292                 1                   2835.00             291.00              2544.00             293                 146.40              4.43                1299.00             280                 
8			292                 1                   2847.00             287.00              2560.00             293                 146.63              4.49                1315.00             280                 
9			292                 1                   2830.00             288.00              2542.00             293                 146.37              4.48                1314.00             280                 
10			292                 1                   2872.00             308.00              2564.00             293                 146.16              4.57                1338.00             280                 
11			292                 1                   2856.00             300.00              2556.00             293                 146.53              4.46                1308.00             280                 
12			292                 1                   2856.00             291.00              2565.00             293                 146.03              4.51                1321.00             280                 
13			292                 1                   2843.00             300.00              2543.00             293                 146.24              4.46                1308.00             280                 
14			292                 1                   2854.00             290.00              2564.00             293                 146.35              4.45                1305.00             280                 
15			292                 1                   2854.00             293.00              2561.00             293                 146.84              4.43                1299.00             280                 
16			292                 1                   2867.00             293.00              2574.00             293                 146.84              4.50                1318.00             280                 
17			292                 1                   2881.00             292.00              2589.00             293                 146.32              4.54                1331.00             280                 
18			292                 1                   2852.00             291.00              2561.00             293                 146.32              4.47                1311.00             280                 
19			292                 1                   2946.00             321.00              2625.00             293                 146.32              4.66                1366.00             280                 
20			292                 1                   2866.00             297.00              2569.00             293                 146.32              4.50                1319.00             280                 
21			292                 1                   2841.00             290.00              2551.00             293                 146.06              4.52                1323.00             280                 
22			292                 1                   2831.00             293.00              2538.00             293                 146.73              4.47                1309.00             280                 
23			292                 1                   2872.00             291.00              2581.00             293                 146.87              4.50                1318.00             280                 
24			292                 1                   2891.00             292.00              2599.00             293                 146.02              4.55                1333.00             280                 
25			292                 1                   2838.00             287.00              2551.00             293                 146.69              4.46                1306.00             280                 
26			292                 1                   2869.00             292.00              2577.00             293                 146.53              4.52                1323.00             280                 
27			292                 1                   2880.00             296.00              2584.00             293                 146.16              4.48                1313.00             280                 
28			292                 1                   2857.00             290.00              2567.00             293                 146.42              4.45                1304.00             280                 
29			292                 1                   2842.00             290.00              2552.00             293                 146.34              4.46                1308.00             280                 
30			292                 1                   2851.00             291.00              2560.00             293                 146.06              4.42                1296.00             280                 
31			292                 1                   2850.00             291.00              2559.00             293                 146.40              4.48                1312.00             280                 
32			292                 1                   2900.00             291.00              2609.00             293                 146.31              4.62                1353.00             280                 
33			292                 1                   2991.00             322.00              2669.00             293                 146.20              4.63                1358.00             280                 
