1			598                 1                   2992.00             313.00              2679.00             599                 299.18              1.56                936.00              459                 
2			598                 1                   3010.00             315.00              2695.00             599                 299.39              1.56                933.00              459                 
3			598                 1                   3078.00             314.00              2764.00             599                 299.15              1.65                986.00              459                 
4			598                 1                   3057.00             315.00              2742.00             599                 299.32              1.58                947.00              459                 
5			598                 1                   2990.00             313.00              2677.00             599                 299.01              1.53                915.00              459                 
6			598                 1                   3106.00             317.00              2789.00             599                 299.44              1.61                965.00              459                 
7			598                 1                   3089.00             310.00              2779.00             599                 299.52              1.61                964.00              459                 
8			598                 1                   3051.00             329.00              2722.00             599                 299.01              1.55                930.00              459                 
9			598                 1                   3010.00             313.00              2697.00             599                 299.28              1.55                931.00              459                 
10			598                 1                   3006.00             316.00              2690.00             599                 299.95              1.54                923.00              459                 
11			598                 1                   3135.00             345.00              2790.00             599                 299.44              1.64                984.00              459                 
12			598                 1                   2995.00             320.00              2675.00             599                 299.31              1.54                922.00              459                 
13			598                 1                   3021.00             316.00              2705.00             599                 299.13              1.53                919.00              459                 
14			598                 1                   2982.00             315.00              2667.00             599                 299.15              1.53                919.00              459                 
15			598                 1                   3006.00             314.00              2692.00             599                 299.15              1.55                929.00              459                 
16			598                 1                   3033.00             315.00              2718.00             599                 299.22              1.59                954.00              459                 
17			598                 1                   2989.00             312.00              2677.00             599                 299.10              1.56                934.00              459                 
18			598                 1                   3150.00             315.00              2835.00             599                 299.52              1.68                1005.00             459                 
19			598                 1                   3018.00             346.00              2672.00             599                 299.12              1.58                944.00              459                 
20			598                 1                   3021.00             314.00              2707.00             599                 299.01              1.58                948.00              459                 
21			598                 1                   3012.00             315.00              2697.00             599                 299.09              1.56                932.00              459                 
22			598                 1                   3054.00             316.00              2738.00             599                 299.44              1.58                945.00              459                 
23			598                 1                   2996.00             317.00              2679.00             599                 299.01              1.55                928.00              459                 
24			598                 1                   3046.00             318.00              2728.00             599                 299.50              1.58                945.00              459                 
25			598                 1                   2986.00             311.00              2675.00             599                 299.17              1.56                937.00              459                 
26			598                 1                   3033.00             317.00              2716.00             599                 299.44              1.59                951.00              459                 
27			598                 1                   3045.00             314.00              2731.00             599                 299.68              1.59                955.00              459                 
28			598                 1                   3007.00             314.00              2693.00             599                 299.10              1.56                935.00              459                 
29			598                 1                   3041.00             315.00              2726.00             599                 299.49              1.55                927.00              459                 
30			598                 1                   3044.00             316.00              2728.00             599                 299.01              1.56                934.00              459                 
31			598                 1                   3018.00             317.00              2701.00             599                 299.72              1.55                927.00              459                 
32			598                 1                   3024.00             315.00              2709.00             599                 299.86              1.56                937.00              459                 
33			598                 1                   3030.00             317.00              2713.00             599                 299.01              1.58                948.00              459                 
34			598                 1                   3123.00             347.00              2776.00             599                 299.33              1.61                966.00              459                 
35			598                 1                   3003.00             317.00              2686.00             599                 299.09              1.57                940.00              459                 
36			598                 1                   3021.00             314.00              2707.00             599                 299.34              1.55                928.00              459                 
