1			598                 1                   5001.00             311.00              4690.00             545                 7.30                1.66                907.00              318                 
2			598                 1                   4963.00             315.00              4648.00             545                 7.30                1.61                877.00              318                 
3			598                 1                   5150.00             318.00              4832.00             545                 7.30                1.89                1030.00             318                 
4			598                 1                   5081.00             315.00              4766.00             545                 7.30                1.72                937.00              318                 
5			598                 1                   5020.00             324.00              4696.00             545                 7.30                1.67                908.00              318                 
6			598                 1                   5185.00             348.00              4837.00             545                 7.30                1.78                970.00              318                 
7			598                 1                   5015.00             317.00              4698.00             545                 7.30                1.64                893.00              318                 
8			598                 1                   4984.00             313.00              4671.00             545                 7.30                1.67                911.00              318                 
9			598                 1                   5114.00             314.00              4800.00             545                 7.30                1.77                967.00              318                 
10			598                 1                   4918.00             311.00              4607.00             545                 7.30                1.70                924.00              318                 
11			598                 1                   5298.00             337.00              4961.00             545                 7.30                1.81                985.00              318                 
12			598                 1                   5020.00             315.00              4705.00             545                 7.30                1.70                929.00              318                 
13			598                 1                   5027.00             318.00              4709.00             545                 7.30                1.70                929.00              318                 
14			598                 1                   4922.00             310.00              4612.00             545                 7.30                1.66                902.00              318                 
15			598                 1                   5014.00             314.00              4700.00             545                 7.30                1.70                924.00              318                 
16			598                 1                   4916.00             315.00              4601.00             545                 7.30                1.64                895.00              318                 
17			598                 1                   5039.00             317.00              4722.00             545                 7.30                1.67                911.00              318                 
18			598                 1                   4981.00             315.00              4666.00             545                 7.30                1.70                924.00              318                 
19			598                 1                   4939.00             315.00              4624.00             545                 7.30                1.67                908.00              318                 
20			598                 1                   4996.00             313.00              4683.00             545                 7.30                1.67                911.00              318                 
21			598                 1                   4979.00             315.00              4664.00             545                 7.30                1.67                912.00              318                 
22			598                 1                   5035.00             312.00              4723.00             545                 7.30                1.72                936.00              318                 
23			598                 1                   5023.00             316.00              4707.00             545                 7.30                1.70                924.00              318                 
24			598                 1                   4921.00             312.00              4609.00             545                 7.30                1.66                904.00              318                 
25			598                 1                   4950.00             320.00              4630.00             545                 7.30                1.64                893.00              318                 
26			598                 1                   4996.00             310.00              4686.00             545                 7.30                1.69                923.00              318                 
27			598                 1                   5110.00             314.00              4796.00             545                 7.30                1.73                942.00              318                 
28			598                 1                   4974.00             314.00              4660.00             545                 7.30                1.66                906.00              318                 
29			598                 1                   4964.00             312.00              4652.00             545                 7.30                1.64                893.00              318                 
30			598                 1                   4969.00             313.00              4656.00             545                 7.30                1.59                866.00              318                 
31			598                 1                   5005.00             314.00              4691.00             545                 7.30                1.66                903.00              318                 
32			598                 1                   4989.00             312.00              4677.00             545                 7.30                1.72                936.00              318                 
33			598                 1                   4954.00             313.00              4641.00             545                 7.30                1.65                899.00              318                 
34			598                 1                   5012.00             319.00              4693.00             545                 7.30                1.68                917.00              318                 
35			598                 1                   4905.00             311.00              4594.00             545                 7.30                1.64                895.00              318                 
36			598                 1                   5166.00             348.00              4818.00             545                 7.30                1.76                960.00              318                 
