1			598                 1                   224.00              209.00              15.00               13                  3.46                5.15                67.00               2                   
2			598                 1                   191.00              187.00              4.00                3                   0.67                15.00               45.00               2                   
3			598                 1                   227.00              214.00              13.00               13                  3.31                5.00                65.00               12                  
4			598                 1                   218.00              206.00              12.00               11                  3.09                5.55                61.00               2                   
5			598                 1                   236.00              215.00              21.00               19                  4.89                3.47                66.00               12                  
6			598                 1                   238.00              219.00              19.00               17                  4.35                4.00                68.00               12                  
7			598                 1                   210.00              202.00              8.00                9                   2.33                6.22                56.00               2                   
8			598                 1                   217.00              205.00              12.00               13                  3.38                4.46                58.00               2                   
9			598                 1                   213.00              203.00              10.00               9                   2.44                6.78                61.00               2                   
10			598                 1                   200.00              193.00              7.00                7                   2.00                7.57                53.00               2                   
11			598                 1                   206.00              199.00              7.00                7                   1.71                8.00                56.00               2                   
12			598                 1                   280.00              238.00              42.00               27                  7.15                3.41                92.00               12                  
13			598                 1                   245.00              220.00              25.00               19                  4.95                3.95                75.00               12                  
14			598                 1                   204.00              199.00              5.00                7                   2.00                7.43                52.00               2                   
15			598                 1                   263.00              231.00              32.00               21                  5.24                3.81                80.00               12                  
16			598                 1                   250.00              221.00              29.00               19                  4.74                4.11                78.00               12                  
17			598                 1                   233.00              215.00              18.00               13                  3.23                5.46                71.00               12                  
18			598                 1                   198.00              193.00              5.00                5                   1.40                10.00               50.00               2                   
19			598                 1                   245.00              223.00              22.00               15                  3.73                4.87                73.00               12                  
20			598                 1                   272.00              235.00              37.00               23                  6.04                3.96                91.00               12                  
21			598                 1                   245.00              221.00              24.00               19                  4.89                4.00                76.00               12                  
22			598                 1                   198.00              194.00              4.00                5                   1.20                9.80                49.00               2                   
23			598                 1                   217.00              205.00              12.00               13                  3.62                4.46                58.00               2                   
24			598                 1                   196.00              192.00              4.00                5                   1.20                9.80                49.00               2                   
25			598                 1                   191.00              187.00              4.00                3                   0.67                15.00               45.00               2                   
26			598                 1                   238.00              219.00              19.00               17                  4.41                4.06                69.00               12                  
27			598                 1                   202.00              198.00              4.00                3                   0.67                16.00               48.00               2                   
28			598                 1                   214.00              204.00              10.00               9                   2.33                6.56                59.00               2                   
29			598                 1                   192.00              189.00              3.00                3                   0.67                16.33               49.00               2                   
30			598                 1                   197.00              193.00              4.00                5                   1.40                10.00               50.00               2                   
31			598                 1                   234.00              225.00              9.00                7                   2.00                8.86                62.00               2                   
32			598                 1                   229.00              221.00              8.00                7                   2.00                8.57                60.00               2                   
33			598                 1                   225.00              220.00              5.00                5                   1.20                12.00               60.00               2                   
34			598                 1                   264.00              244.00              20.00               17                  4.35                4.47                76.00               12                  
35			598                 1                   290.00              255.00              35.00               21                  5.24                4.48                94.00               12                  
36			598                 1                   233.00              216.00              17.00               15                  3.80                4.40                66.00               12                  
