1			598                 1                   214.00              211.00              3.00                11                  2.73                5.45                60.00               2                   
2			598                 1                   186.00              186.00              0.00                3                   0.67                15.33               46.00               2                   
3			598                 1                   220.00              214.00              6.00                12                  2.75                5.50                66.00               12                  
4			598                 1                   209.00              206.00              3.00                9                   2.44                6.33                57.00               2                   
5			598                 1                   229.00              221.00              8.00                15                  4.33                4.13                62.00               12                  
6			598                 1                   225.00              218.00              7.00                14                  3.86                4.64                65.00               12                  
7			598                 1                   206.00              202.00              4.00                9                   2.00                6.11                55.00               2                   
8			598                 1                   212.00              208.00              4.00                12                  2.75                4.92                59.00               2                   
9			598                 1                   206.00              204.00              2.00                8                   2.00                7.13                57.00               2                   
10			598                 1                   196.00              196.00              0.00                7                   1.29                7.57                53.00               2                   
11			598                 1                   198.00              198.00              0.00                7                   1.29                7.86                55.00               2                   
12			598                 1                   245.00              239.00              6.00                19                  5.95                4.00                76.00               12                  
13			598                 1                   231.00              222.00              9.00                15                  4.33                4.53                68.00               12                  
14			598                 1                   202.00              202.00              0.00                7                   1.29                7.29                51.00               2                   
15			598                 1                   272.00              259.00              13.00               18                  4.44                4.67                84.00               12                  
16			598                 1                   259.00              246.00              13.00               17                  4.00                4.76                81.00               12                  
17			598                 1                   231.00              225.00              6.00                12                  2.75                5.67                68.00               2                   
18			598                 1                   195.00              195.00              0.00                5                   1.00                10.00               50.00               2                   
19			598                 1                   226.00              214.00              12.00               14                  3.29                5.00                70.00               12                  
20			598                 1                   244.00              238.00              6.00                18                  4.83                4.28                77.00               12                  
21			598                 1                   229.00              220.00              9.00                15                  4.33                4.47                67.00               12                  
22			598                 1                   191.00              190.00              1.00                5                   1.00                9.80                49.00               2                   
23			598                 1                   216.00              214.00              2.00                11                  2.73                5.64                62.00               2                   
24			598                 1                   193.00              193.00              0.00                5                   1.00                9.80                49.00               2                   
25			598                 1                   186.00              186.00              0.00                3                   0.67                15.00               45.00               2                   
26			598                 1                   227.00              219.00              8.00                14                  3.86                4.50                63.00               12                  
27			598                 1                   189.00              189.00              0.00                3                   0.67                15.67               47.00               2                   
28			598                 1                   208.00              204.00              4.00                9                   2.00                6.33                57.00               2                   
29			598                 1                   189.00              189.00              0.00                3                   0.67                15.67               47.00               2                   
30			598                 1                   191.00              191.00              0.00                5                   1.00                9.80                49.00               2                   
31			598                 1                   196.00              196.00              0.00                7                   1.29                7.71                54.00               2                   
32			598                 1                   199.00              199.00              0.00                7                   1.29                8.00                56.00               2                   
33			598                 1                   198.00              198.00              0.00                5                   1.00                10.80               54.00               2                   
34			598                 1                   240.00              233.00              7.00                14                  3.86                5.71                80.00               12                  
35			598                 1                   242.00              230.00              12.00               18                  4.44                4.17                75.00               12                  
36			598                 1                   223.00              213.00              10.00               14                  3.29                4.50                63.00               12                  
