1			1090                1                   16675.00            408.00              16267.00            1028                8.21                2.00                2061.00             762                 
2			1090                1                   16434.00            409.00              16025.00            1028                8.21                2.02                2078.00             762                 
3			1090                2                   17083.00            409.00              16674.00            1028                8.21                2.18                2237.00             1723                
4			1090                2                   16969.00            406.00              16563.00            1028                8.21                2.20                2260.00             762                 
5			1090                1                   16492.00            422.00              16070.00            1028                8.21                2.09                2146.00             762                 
6			1090                2                   16468.00            408.00              16060.00            1028                8.21                2.11                2167.00             762                 
7			1090                1                   16493.00            412.00              16081.00            1028                8.21                2.01                2063.00             762                 
8			1090                1                   16604.00            410.00              16194.00            1028                8.21                1.99                2042.00             762                 
9			1090                1                   16397.00            411.00              15986.00            1028                8.21                2.01                2065.00             762                 
10			1090                1                   16448.00            410.00              16038.00            1028                8.21                2.03                2083.00             762                 
11			1090                1                   16361.00            410.00              15951.00            1028                8.21                1.98                2035.00             762                 
12			1090                2                   16516.00            411.00              16105.00            1028                8.21                2.08                2137.00             762                 
13			1090                1                   16399.00            462.00              15937.00            1028                8.21                2.03                2085.00             762                 
14			1090                1                   16461.00            413.00              16048.00            1028                8.21                2.03                2083.00             762                 
15			1090                1                   16315.00            404.00              15911.00            1028                8.21                1.98                2031.00             762                 
16			1090                1                   16261.00            409.00              15852.00            1028                8.21                2.02                2074.00             762                 
17			1090                1                   16285.00            413.00              15872.00            1028                8.21                2.04                2094.00             762                 
18			1090                1                   16270.00            409.00              15861.00            1028                8.21                2.01                2071.00             762                 
19			1090                1                   16365.00            409.00              15956.00            1028                8.21                2.00                2057.00             762                 
20			1090                1                   16276.00            407.00              15869.00            1028                8.21                2.00                2057.00             1723                
21			1090                2                   16270.00            406.00              15864.00            1028                8.21                2.07                2127.00             762                 
22			1090                1                   16198.00            412.00              15786.00            1028                8.21                1.98                2036.00             762                 
23			1090                2                   16493.00            409.00              16084.00            1028                8.21                2.13                2185.00             762                 
24			1090                2                   16382.00            413.00              15969.00            1028                8.21                2.02                2075.00             762                 
25			1090                1                   16212.00            411.00              15801.00            1028                8.21                1.98                2039.00             762                 
26			1090                1                   16244.00            411.00              15833.00            1028                8.21                1.99                2046.00             762                 
27			1090                2                   16485.00            413.00              16072.00            1028                8.21                2.08                2135.00             762                 
28			1090                1                   16397.00            415.00              15982.00            1028                8.21                2.03                2088.00             762                 
29			1090                5                   17331.00            413.00              16918.00            1028                8.21                2.43                2502.00             769                 
30			1090                1                   16220.00            407.00              15813.00            1028                8.21                2.08                2135.00             762                 
31			1090                1                   16213.00            409.00              15804.00            1028                8.21                1.98                2031.00             762                 
32			1090                1                   16219.00            449.00              15770.00            1028                8.21                2.03                2082.00             762                 
33			1090                1                   16292.00            411.00              15881.00            1028                8.21                2.01                2070.00             762                 
34			1090                1                   16074.00            406.00              15668.00            1028                8.21                2.06                2117.00             762                 
35			1090                1                   16942.00            419.00              16523.00            1028                8.21                2.08                2138.00             762                 
36			1090                1                   16171.00            407.00              15764.00            1028                8.21                2.00                2054.00             762                 
37			1090                2                   16574.00            422.00              16152.00            1028                8.21                2.19                2249.00             762                 
38			1090                1                   16579.00            411.00              16168.00            1028                8.21                2.00                2061.00             762                 
39			1090                2                   16884.00            409.00              16475.00            1028                8.21                2.11                2165.00             762                 
40			1090                1                   16649.00            415.00              16234.00            1028                8.21                2.03                2091.00             762                 
41			1090                2                   16852.00            421.00              16431.00            1028                8.21                2.11                2173.00             762                 
42			1090                2                   16702.00            449.00              16253.00            1028                8.21                2.13                2187.00             762                 
43			1090                2                   16857.00            420.00              16437.00            1028                8.21                2.15                2209.00             1722                
44			1090                2                   16623.00            410.00              16213.00            1028                8.21                2.06                2113.00             762                 
45			1090                1                   16770.00            410.00              16360.00            1028                8.21                2.05                2109.00             762                 
46			1090                2                   16549.00            414.00              16135.00            1028                8.21                2.11                2166.00             762                 
47			1090                2                   16552.00            414.00              16138.00            1028                8.21                2.17                2235.00             763                 
48			1090                1                   16363.00            408.00              15955.00            1028                8.21                2.00                2055.00             762                 
49			1090                1                   16555.00            409.00              16146.00            1028                8.21                2.00                2059.00             762                 
50			1090                2                   16568.00            412.00              16156.00            1028                8.21                2.04                2092.00             762                 
51			1090                1                   16417.00            410.00              16007.00            1028                8.21                1.99                2044.00             762                 
52			1090                2                   16622.00            454.00              16168.00            1028                8.21                2.23                2288.00             763                 
53			1090                1                   16204.00            410.00              15794.00            1028                8.21                2.06                2122.00             762                 
54			1090                2                   16657.00            409.00              16248.00            1028                8.21                2.12                2178.00             762                 
55			1090                2                   16734.00            410.00              16324.00            1028                8.21                2.13                2193.00             763                 
56			1090                2                   16551.00            411.00              16140.00            1028                8.21                2.09                2151.00             763                 
57			1090                2                   16502.00            411.00              16091.00            1028                8.21                1.99                2050.00             762                 
58			1090                1                   16143.00            415.00              15728.00            1028                8.21                2.01                2062.00             762                 
59			1090                1                   16594.00            411.00              16183.00            1028                8.21                2.01                2066.00             762                 
60			1090                2                   16662.00            411.00              16251.00            1028                8.21                2.16                2225.00             763                 
61			1090                1                   16263.00            409.00              15854.00            1028                8.21                1.99                2050.00             762                 
62			1090                1                   16608.00            410.00              16198.00            1028                8.21                2.03                2083.00             762                 
63			1090                1                   16356.00            409.00              15947.00            1028                8.21                2.00                2053.00             800                 
64			1090                2                   16713.00            408.00              16305.00            1028                8.21                2.20                2260.00             762                 
65			1090                1                   16321.00            413.00              15908.00            1028                8.21                2.00                2056.00             762                 
66			1090                1                   16240.00            406.00              15834.00            1028                8.21                1.98                2040.00             762                 
67			1090                1                   16641.00            407.00              16234.00            1028                8.21                2.03                2085.00             762                 
68			1090                1                   16387.00            413.00              15974.00            1028                8.21                2.07                2126.00             762                 
69			1090                2                   17141.00            407.00              16734.00            1028                8.21                2.25                2311.00             762                 
70			1090                2                   16812.00            414.00              16398.00            1028                8.21                2.21                2271.00             762                 
71			1090                1                   16319.00            407.00              15912.00            1028                8.21                1.99                2044.00             762                 
72			1090                2                   16433.00            417.00              16016.00            1028                8.21                2.15                2206.00             762                 
73			1090                1                   16670.00            412.00              16258.00            1028                8.21                2.03                2087.00             800                 
74			1090                1                   16304.00            410.00              15894.00            1028                8.21                2.01                2070.00             762                 
75			1090                2                   16400.00            406.00              15994.00            1028                8.21                2.10                2163.00             762                 
76			1090                1                   16617.00            413.00              16204.00            1028                8.21                2.04                2102.00             762                 
77			1090                2                   16874.00            410.00              16464.00            1028                8.21                2.09                2146.00             762                 
78			1090                2                   16565.00            426.00              16139.00            1028                8.21                2.08                2135.00             763                 
79			1090                1                   16391.00            409.00              15982.00            1028                8.21                2.00                2061.00             762                 
80			1090                1                   16273.00            410.00              15863.00            1028                8.21                1.99                2043.00             762                 
81			1090                2                   16670.00            422.00              16248.00            1028                8.21                2.16                2224.00             762                 
82			1090                1                   16239.00            405.00              15834.00            1028                8.21                2.00                2059.00             762                 
83			1090                2                   16532.00            412.00              16120.00            1028                8.21                2.08                2139.00             762                 
84			1090                2                   16713.00            410.00              16303.00            1028                8.21                2.19                2250.00             763                 
85			1090                2                   16529.00            411.00              16118.00            1028                8.21                2.11                2169.00             762                 
86			1090                2                   16800.00            413.00              16387.00            1028                8.21                2.19                2248.00             763                 
87			1090                1                   16187.00            415.00              15772.00            1028                8.21                1.98                2033.00             762                 
88			1090                2                   16457.00            409.00              16048.00            1028                8.21                2.07                2125.00             762                 
89			1090                1                   16576.00            409.00              16167.00            1028                8.21                2.02                2077.00             762                 
90			1090                2                   16708.00            451.00              16257.00            1028                8.21                2.13                2186.00             763                 
91			1090                1                   16451.00            409.00              16042.00            1028                8.21                2.00                2060.00             762                 
92			1090                1                   16347.00            410.00              15937.00            1028                8.21                2.00                2061.00             762                 
93			1090                1                   16424.00            410.00              16014.00            1028                8.21                2.01                2066.00             762                 
94			1090                2                   16441.00            405.00              16036.00            1028                8.21                2.11                2172.00             763                 
95			1090                1                   16597.00            412.00              16185.00            1028                8.21                2.04                2097.00             762                 
96			1090                1                   16340.00            418.00              15922.00            1028                8.21                2.00                2058.00             762                 
97			1090                2                   16739.00            408.00              16331.00            1028                8.21                2.19                2247.00             763                 
98			1090                1                   16367.00            409.00              15958.00            1028                8.21                1.98                2033.00             762                 
99			1090                1                   16201.00            407.00              15794.00            1028                8.21                2.00                2051.00             762                 
100			1090                1                   16434.00            410.00              16024.00            1028                8.21                2.01                2071.00             762                 
101			1090                1                   16484.00            411.00              16073.00            1028                8.21                2.07                2124.00             763                 
102			1090                1                   16227.00            410.00              15817.00            1028                8.21                2.04                2096.00             761                 
103			1090                2                   16880.00            412.00              16468.00            1028                8.21                2.18                2237.00             762                 
104			1090                2                   16587.00            406.00              16181.00            1028                8.21                2.07                2130.00             762                 
105			1090                1                   16552.00            411.00              16141.00            1028                8.21                2.04                2095.00             762                 
106			1090                2                   16565.00            411.00              16154.00            1028                8.21                2.08                2143.00             763                 
107			1090                1                   16533.00            408.00              16125.00            1028                8.21                2.03                2090.00             762                 
108			1090                2                   16683.00            427.00              16256.00            1028                8.21                2.06                2115.00             763                 
