1			259                 1                   2064.00             261.00              1803.00             260                 129.71              3.56                926.00              270                 
2			259                 1                   2068.00             259.00              1809.00             260                 129.56              3.58                931.00              270                 
3			259                 1                   2190.00             291.00              1899.00             260                 129.98              3.77                980.00              270                 
4			259                 1                   2072.00             260.00              1812.00             260                 129.92              3.60                936.00              270                 
5			259                 1                   2036.00             264.00              1772.00             260                 129.65              3.58                931.00              270                 
6			259                 1                   2045.00             263.00              1782.00             260                 129.93              3.59                934.00              270                 
7			259                 1                   2081.00             261.00              1820.00             260                 129.91              3.59                933.00              270                 
8			259                 1                   2082.00             263.00              1819.00             260                 129.93              3.65                949.00              270                 
9			259                 1                   2091.00             264.00              1827.00             260                 129.88              3.66                951.00              270                 
10			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
11			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
12			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
13			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
14			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
15			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
16			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
17			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
18			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
