1			259                 1                   327.00              229.00              98.00               29                  3.41                3.41                99.00               22                  
2			259                 1                   344.00              234.00              110.00              29                  3.41                3.97                115.00              22                  
3			259                 1                   345.00              237.00              108.00              32                  3.75                3.59                115.00              22                  
4			259                 1                   223.00              206.00              17.00               11                  2.09                5.45                60.00               12                  
5			259                 1                   338.00              239.00              99.00               30                  3.67                3.77                113.00              22                  
6			259                 1                   222.00              207.00              15.00               11                  2.09                5.45                60.00               12                  
7			259                 1                   251.00              231.00              20.00               17                  4.76                4.29                73.00               22                  
8			259                 1                   246.00              208.00              38.00               17                  2.06                3.94                67.00               12                  
9			259                 1                   248.00              228.00              20.00               16                  4.25                4.38                70.00               12                  
10			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
11			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
12			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
13			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
14			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
15			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
16			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
17			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
18			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
