1			403                 2                   203.00              203.00              0.00                7                   1.29                7.71                54.00               12                  
2			403                 2                   302.00              267.00              35.00               39                  8.56                2.59                101.00              23                  
3			403                 2                   210.00              209.00              1.00                7                   1.29                8.29                58.00               12                  
4			403                 2                   206.00              206.00              0.00                7                   1.29                8.43                59.00               12                  
5			403                 2                   205.00              205.00              0.00                7                   1.29                8.29                58.00               12                  
6			403                 2                   215.00              207.00              8.00                12                  2.58                4.67                56.00               12                  
7			403                 2                   201.00              201.00              0.00                7                   1.29                7.57                53.00               12                  
8			403                 2                   206.00              206.00              0.00                7                   1.29                7.86                55.00               12                  
9			403                 2                   222.00              213.00              9.00                16                  3.81                3.75                60.00               12                  
10			403                 2                   273.00              255.00              18.00               26                  7.38                3.23                84.00               22                  
11			403                 2                   206.00              206.00              0.00                7                   1.29                7.57                53.00               12                  
12			403                 2                   424.00              377.00              47.00               66                  16.09               2.27                150.00              23                  
13			403                 2                   203.00              203.00              0.00                7                   1.29                7.57                53.00               12                  
14			403                 2                   203.00              203.00              0.00                7                   1.29                7.29                51.00               12                  
15			403                 2                   205.00              205.00              0.00                7                   1.29                7.57                53.00               12                  
16			403                 2                   204.00              203.00              1.00                7                   1.29                7.43                52.00               12                  
17			403                 2                   204.00              204.00              0.00                7                   1.29                7.43                52.00               12                  
18			403                 2                   205.00              205.00              0.00                7                   1.29                7.43                52.00               12                  
19			403                 2                   389.00              366.00              23.00               55                  16.84               2.49                137.00              23                  
20			403                 1                   218.00              213.00              5.00                13                  3.85                4.54                59.00               12                  
21			403                 2                   208.00              208.00              0.00                7                   1.29                8.43                59.00               12                  
22			403                 2                   205.00              205.00              0.00                7                   1.29                7.71                54.00               12                  
23			403                 2                   204.00              204.00              0.00                7                   1.29                7.71                54.00               12                  
24			403                 2                   207.00              207.00              0.00                7                   1.29                7.86                55.00               12                  
25			403                 2                   206.00              206.00              0.00                7                   1.29                8.00                56.00               12                  
26			403                 2                   205.00              205.00              0.00                7                   1.29                7.71                54.00               12                  
27			403                 2                   214.00              214.00              0.00                7                   1.29                8.71                61.00               12                  
28			403                 2                   208.00              208.00              0.00                7                   1.29                8.14                57.00               12                  
29			403                 2                   208.00              208.00              0.00                7                   1.29                8.00                56.00               12                  
30			403                 2                   206.00              205.00              1.00                7                   1.29                8.14                57.00               12                  
31			403                 2                   207.00              207.00              0.00                7                   1.29                8.14                57.00               12                  
32			403                 2                   206.00              205.00              1.00                7                   1.29                8.14                57.00               12                  
33			403                 2                   204.00              204.00              0.00                7                   1.29                8.00                56.00               12                  
34			403                 2                   206.00              206.00              0.00                7                   1.29                7.86                55.00               12                  
