1			691                 6                   7432.00             317.00              7115.00             629                 8.34                2.82                1772.00             425                 
2			691                 6                   7405.00             316.00              7089.00             629                 8.34                2.80                1760.00             425                 
3			691                 6                   7546.00             319.00              7227.00             629                 8.34                2.83                1781.00             425                 
4			691                 6                   7778.00             324.00              7454.00             629                 8.34                2.75                1728.00             423                 
5			691                 5                   7450.00             319.00              7131.00             629                 8.34                2.59                1629.00             423                 
6			691                 6                   7566.00             352.00              7214.00             629                 8.34                2.66                1675.00             423                 
7			691                 6                   7576.00             353.00              7223.00             629                 8.34                2.68                1687.00             423                 
8			691                 6                   7453.00             315.00              7138.00             629                 8.34                2.58                1625.00             423                 
9			691                 6                   7532.00             323.00              7209.00             629                 8.34                2.61                1643.00             423                 
10			691                 6                   7466.00             321.00              7145.00             629                 8.34                2.81                1765.00             425                 
11			691                 6                   7426.00             316.00              7110.00             629                 8.34                2.76                1737.00             425                 
12			691                 6                   7344.00             315.00              7029.00             629                 8.34                2.61                1640.00             423                 
13			691                 6                   7443.00             316.00              7127.00             629                 8.34                2.59                1628.00             423                 
14			691                 6                   7501.00             319.00              7182.00             629                 8.34                2.84                1787.00             425                 
15			691                 6                   7629.00             354.00              7275.00             629                 8.34                2.88                1809.00             425                 
16			691                 6                   7440.00             318.00              7122.00             629                 8.34                2.76                1737.00             425                 
17			691                 6                   7547.00             325.00              7222.00             629                 8.34                2.77                1743.00             424                 
18			691                 6                   7475.00             318.00              7157.00             629                 8.34                2.80                1762.00             425                 
19			691                 6                   7377.00             314.00              7063.00             629                 8.34                2.56                1608.00             423                 
20			691                 6                   7380.00             315.00              7065.00             629                 8.34                2.56                1613.00             423                 
21			691                 6                   7421.00             319.00              7102.00             629                 8.34                2.58                1622.00             423                 
22			691                 6                   7450.00             318.00              7132.00             629                 8.34                2.77                1745.00             425                 
23			691                 6                   7483.00             319.00              7164.00             629                 8.34                2.81                1769.00             425                 
24			691                 6                   7466.00             325.00              7141.00             629                 8.34                2.59                1626.00             423                 
25			691                 6                   7497.00             320.00              7177.00             629                 8.34                2.59                1631.00             424                 
26			691                 6                   7435.00             317.00              7118.00             629                 8.34                2.60                1633.00             423                 
27			691                 6                   7493.00             323.00              7170.00             629                 8.34                2.59                1630.00             423                 
28			691                 6                   7440.00             321.00              7119.00             629                 8.34                2.61                1639.00             423                 
