1			365                 1                   4496.00             277.00              4219.00             312                 7.52                3.51                1094.00             311                 
2			365                 1                   4539.00             278.00              4261.00             312                 7.52                3.54                1105.00             311                 
3			365                 1                   4546.00             280.00              4266.00             312                 7.52                3.53                1102.00             311                 
4			365                 1                   4573.00             282.00              4291.00             312                 7.52                3.55                1109.00             311                 
5			365                 1                   4543.00             281.00              4262.00             312                 7.52                3.49                1090.00             311                 
6			365                 1                   4508.00             277.00              4231.00             312                 7.52                3.46                1080.00             311                 
7			365                 1                   4551.00             281.00              4270.00             312                 7.52                3.52                1099.00             311                 
8			365                 2                   4562.00             281.00              4281.00             312                 7.52                3.58                1118.00             311                 
9			365                 1                   4547.00             280.00              4267.00             312                 7.52                3.45                1076.00             311                 
10			365                 1                   4517.00             280.00              4237.00             312                 7.52                3.46                1079.00             311                 
11			365                 1                   4383.00             277.00              4106.00             315                 10.44               3.43                1080.00             311                 
12			365                 1                   4549.00             279.00              4270.00             312                 7.52                3.58                1116.00             311                 
13			365                 1                   4634.00             279.00              4355.00             312                 7.52                3.61                1127.00             311                 
14			365                 1                   4576.00             279.00              4297.00             312                 7.52                3.57                1113.00             311                 
15			365                 1                   4508.00             278.00              4230.00             312                 7.52                3.46                1080.00             311                 
16			365                 1                   4579.00             288.00              4291.00             312                 7.52                3.53                1100.00             311                 
17			365                 1                   4555.00             280.00              4275.00             312                 7.52                3.50                1093.00             311                 
18			365                 1                   4592.00             282.00              4310.00             312                 7.52                3.53                1100.00             311                 
19			365                 1                   4533.00             279.00              4254.00             312                 7.52                3.49                1088.00             311                 
20			365                 1                   4533.00             276.00              4257.00             312                 7.52                3.52                1097.00             311                 
21			365                 1                   4544.00             277.00              4267.00             312                 7.52                3.55                1108.00             311                 
22			365                 1                   4541.00             280.00              4261.00             312                 7.52                3.46                1081.00             311                 
23			365                 1                   4555.00             283.00              4272.00             312                 7.52                3.51                1096.00             311                 
24			365                 1                   4561.00             278.00              4283.00             312                 7.52                3.57                1113.00             311                 
25			365                 1                   4555.00             277.00              4278.00             312                 7.52                3.47                1082.00             311                 
26			365                 1                   4567.00             281.00              4286.00             312                 7.52                3.56                1110.00             311                 
27			365                 1                   4563.00             287.00              4276.00             312                 7.52                3.55                1107.00             311                 
28			365                 1                   4578.00             280.00              4298.00             312                 7.52                3.54                1103.00             311                 
29			365                 1                   4563.00             279.00              4284.00             312                 7.52                3.53                1100.00             311                 
30			365                 1                   4568.00             280.00              4288.00             312                 7.52                3.58                1118.00             311                 
31			365                 1                   4552.00             281.00              4271.00             312                 7.52                3.52                1098.00             311                 
32			365                 1                   4557.00             281.00              4276.00             312                 7.52                3.50                1092.00             311                 
33			365                 1                   4553.00             280.00              4273.00             312                 7.52                3.53                1101.00             311                 
34			365                 1                   4536.00             278.00              4258.00             312                 7.52                3.54                1105.00             311                 
35			365                 1                   4559.00             283.00              4276.00             312                 7.52                3.51                1095.00             311                 
36			365                 1                   4536.00             279.00              4257.00             312                 7.52                3.54                1105.00             311                 
37			365                 2                   4535.00             278.00              4257.00             312                 7.52                3.55                1107.00             311                 
38			365                 1                   4529.00             280.00              4249.00             312                 7.52                3.48                1085.00             311                 
39			365                 1                   4569.00             278.00              4291.00             312                 7.52                3.58                1118.00             311                 
40			365                 3                   4948.00             282.00              4666.00             332                 17.30               3.81                1264.00             352                 
41			365                 1                   4613.00             288.00              4325.00             312                 7.52                3.53                1102.00             311                 
42			365                 1                   4531.00             280.00              4251.00             312                 7.52                3.50                1093.00             311                 
43			365                 1                   4564.00             280.00              4284.00             312                 7.52                3.53                1101.00             311                 
44			365                 1                   4530.00             280.00              4250.00             312                 7.52                3.54                1104.00             311                 
45			365                 1                   4603.00             281.00              4322.00             312                 7.52                3.55                1107.00             311                 
46			365                 1                   4561.00             282.00              4279.00             312                 7.52                3.57                1115.00             311                 
