#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
AcquiredAbnormalStructure_subClassOf_IllFormedBiologicalStructure     1         636                 1              370.00         5              301.00              13             
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
AcquiredPathologicalCondition_subClassOf_PathologicalRegion           2         636                 1              481.00         7              401.00              23             
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
AcquiredPathologicalState_subClassOf_PathologicalState                3         636                 1              481.00         6              402.00              23             
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
Action_subClassOf_ProcessualEntity                                    4         636                 1              371.00         6              306.00              13             
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
AdultOrganism_subClassOf_OrganismByDevelopmentalStagePartition        5         636                 1              380.00         5              311.00              13             
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
AdultRegion_subClassOf_DevelopmentalRegion                            6         636                 1              256.00         5              200.00              13             
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
Affecting_subClassOf_Action                                           7         636                 1              349.00         7              284.00              13             
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
AgeQuality_subClassOf_Quality                                         8         636                 1              255.00         4              201.00              13             
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
Alga_subClassOf_Eukaryote                                             9         636                 1              370.00         4              298.00              13             
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
AminoAcidMoleculeOrResidue_subClassOf_AminoAcidOrPeptideMoleculeOrStructure10        636                 1              414.00         8              338.00              13             
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
AminoAcidMoleculeOrResidue_subClassOf_Monomer                         11        636                 1              407.00         8              334.00              13             
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
AminoAcidOrPeptideMoleculeOrStructure_subClassOf_OrganicMolecularEntityPartition12        636                 1              361.00         7              292.00              13             
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
AminoAcidSequence_subClassOf_BioMolecularSequenceStructure            13        636                 1              415.00         7              340.00              13             
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
AminoAcidSequence_subClassOf_PeptideStructure                         14        636                 1              409.00         7              337.00              13             
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
AminoAcidSequenceInformation_subClassOf_BioMolecularSequenceInformation15        636                 1              397.00         4              322.00              13             
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
AmountOfBodySubstance_subClassOf_AmountOfSubstance                    16        636                 1              381.00         8              313.00              13             
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
AmountOfSubstance_subClassOf_CollectiveMaterialEntity                 17        636                 1              374.00         7              307.00              13             
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
Amphibian_subClassOf_AnimalExcludingHuman                             18        636                 1              913.00         49             836.00              44             
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
Amphibian_subClassOf_Vertebrate                                       19        636                 1              398.00         6              328.00              13             
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
Analyzing_subClassOf_HumanAction                                      20        636                 1              412.00         6              340.00              13             
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
AnimalCell_subClassOf_CellByTaxonPartition                            21        636                 1              472.00         5              398.00              23             
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
AnimalExcludingHuman_subClassOf_AnimalIncludingHuman                  22        636                 1              388.00         6              315.00              13             
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
AnimalIncludingHuman_subClassOf_Eukaryote                             23        636                 1              391.00         6              320.00              13             
#Axiom String                                                         i         No. Axioms          size           time           RC             RC_total_time       mem            sanity    
AnimalLanguage_subClassOf_LanguagePartition                           24        636                 1              257.00         4              197.00              13             
