1			2301                2                   383.00              28                  305.00              23                  
2			2301                3                   551.00              61                  470.00              23                  
3			2301                1                   301.00              8                   228.00              23                  
4			2301                2                   300.00              10                  225.00              23                  
5			2301                2                   311.00              12                  238.00              23                  
6			2301                3                   425.00              41                  350.00              23                  
7			2301                2                   421.00              34                  343.00              23                  
8			2301                2                   434.00              35                  360.00              23                  
9			2301                8                   1716.00             395                 1594.00             116                 
10			2301                2                   477.00              34                  398.00              23                  
11			2301                1                   304.00              9                   231.00              23                  
12			2301                1                   288.00              8                   220.00              23                  
13			2301                1                   296.00              6                   225.00              23                  
14			2301                1                   297.00              6                   225.00              23                  
15			2301                1                   302.00              9                   229.00              23                  
16			2301                1                   303.00              8                   230.00              23                  
17			2301                1                   312.00              7                   239.00              23                  
18			2301                2                   439.00              36                  364.00              23                  
