1			190                 1                   290.00              6                   235.00              23                  
2			190                 3                   341.00              16                  284.00              23                  
3			190                 7                   762.00              118                 686.00              33                  
4			190                 3                   598.00              46                  527.00              23                  
5			190                 3                   522.00              40                  451.00              23                  
6			190                 8                   896.00              142                 811.00              34                  
7			190                 3                   426.00              38                  361.00              23                  
8			190                 5                   522.00              67                  448.00              23                  
9			190                 3                   358.00              21                  298.00              23                  
10			190                 6                   592.00              85                  519.00              33                  
