1			386                 2                   397.00              16                  326.00              23                  
2			386                 2                   389.00              14                  317.00              23                  
3			386                 2                   379.00              11                  309.00              23                  
4			386                 2                   386.00              13                  317.00              23                  
5			386                 2                   394.00              15                  321.00              23                  
6			386                 2                   381.00              13                  310.00              23                  
7			386                 2                   383.00              13                  311.00              23                  
8			386                 2                   388.00              12                  317.00              23                  
9			386                 2                   391.00              14                  321.00              23                  
10			386                 2                   398.00              18                  326.00              23                  
11			386                 2                   400.00              18                  329.00              23                  
12			386                 2                   395.00              15                  323.00              23                  
13			386                 2                   372.00              10                  305.00              23                  
14			386                 2                   388.00              15                  317.00              23                  
15			386                 2                   380.00              12                  309.00              23                  
16			386                 2                   402.00              19                  326.00              23                  
17			386                 2                   393.00              15                  318.00              23                  
18			386                 2                   390.00              14                  317.00              23                  
19			386                 2                   393.00              15                  319.00              23                  
20			386                 2                   382.00              14                  311.00              23                  
21			386                 2                   382.00              15                  312.00              23                  
22			386                 2                   388.00              16                  314.00              23                  
23			386                 2                   389.00              15                  317.00              23                  
24			386                 2                   398.00              17                  326.00              23                  
25			386                 2                   387.00              13                  316.00              23                  
26			386                 2                   372.00              10                  303.00              23                  
27			386                 2                   382.00              14                  311.00              23                  
28			386                 2                   386.00              13                  317.00              23                  
29			386                 2                   390.00              15                  319.00              23                  
30			386                 2                   390.00              16                  320.00              23                  
31			386                 2                   386.00              16                  313.00              23                  
32			386                 2                   391.00              15                  319.00              23                  
33			386                 2                   390.00              15                  318.00              23                  
34			386                 2                   395.00              16                  323.00              23                  
35			386                 2                   391.00              15                  321.00              23                  
