1			313                 312                 3021.00             910.00              2111.00             321                 227.90              4.27                1371.00             248                 
2			313                 312                 3032.00             898.00              2134.00             331                 225.42              4.30                1424.00             258                 
3			313                 312                 2693.00             822.00              1871.00             249                 246.35              4.79                1193.00             134                 
4			313                 312                 2965.00             910.00              2055.00             321                 227.90              4.09                1313.00             248                 
5			313                 312                 1986.00             527.00              1459.00             113                 280.47              7.94                897.00              269                 
6			313                 312                 3420.00             1043.00             2377.00             533                 175.30              3.02                1609.00             443                 
7			313                 312                 3167.00             918.00              2249.00             429                 201.31              3.29                1412.00             351                 
8			313                 312                 3221.00             918.00              2303.00             431                 200.81              3.48                1501.00             361                 
9			313                 312                 3207.00             936.00              2271.00             453                 195.30              3.16                1433.00             371                 
10			313                 312                 3183.00             926.00              2257.00             453                 195.30              3.16                1432.00             371                 
11			313                 312                 3139.00             912.00              2227.00             413                 205.31              3.38                1394.00             331                 
12			313                 312                 890.00              488.00              402.00              13                  307.15              28.15               366.00              54                  
13			313                 312                 3230.00             949.00              2281.00             451                 195.80              3.33                1502.00             371                 
14			313                 312                 1168.00             382.00              786.00              29                  302.10              17.21               499.00              84                  
15			313                 312                 1175.00             384.00              791.00              29                  302.10              17.24               500.00              84                  
16			313                 312                 1181.00             384.00              797.00              29                  302.10              17.21               499.00              84                  
17			313                 312                 2018.00             566.00              1452.00             113                 280.47              7.81                883.00              269                 
18			313                 312                 1891.00             494.00              1397.00             113                 280.47              7.44                841.00              269                 
19			313                 312                 2096.00             533.00              1563.00             139                 273.93              6.68                928.00              321                 
20			313                 312                 2035.00             522.00              1513.00             139                 273.93              6.57                913.00              321                 
21			313                 312                 1971.00             514.00              1457.00             113                 280.47              7.79                880.00              269                 
22			313                 312                 2534.00             719.00              1815.00             229                 251.36              4.95                1133.00             485                 
23			313                 312                 3092.00             977.00              2115.00             363                 217.49              3.87                1404.00             300                 
24			313                 312                 2918.00             859.00              2059.00             301                 232.85              4.35                1310.00             207                 
25			313                 312                 2867.00             865.00              2002.00             301                 232.85              4.29                1291.00             207                 
26			313                 312                 3399.00             1037.00             2362.00             539                 173.80              2.82                1518.00             443                 
27			313                 312                 2550.00             743.00              1807.00             243                 247.85              4.88                1186.00             123                 
28			313                 312                 2646.00             796.00              1850.00             245                 247.35              4.79                1174.00             124                 
29			313                 311                 3317.00             1005.00             2312.00             517                 178.91              3.00                1550.00             423                 
30			313                 312                 1820.00             518.00              1302.00             87                  286.56              9.13                794.00              218                 
31			313                 312                 929.00              459.00              470.00              15                  306.33              25.93               389.00              54                  
32			313                 312                 3192.00             896.00              2296.00             387                 211.81              3.76                1457.00             309                 
33			313                 311                 3230.00             906.00              2324.00             405                 206.97              3.50                1419.00             331                 
