1			536                 535                 1752.00             943.00              809.00              28                  528.64              10.32               289.00              280                 
2			536                 534                 1720.00             1124.00             596.00              24                  532.38              10.83               260.00              392                 
3			536                 534                 1857.00             1079.00             778.00              31                  529.74              9.35                290.00              362                 
4			536                 534                 1966.00             1200.00             766.00              35                  529.86              8.20                287.00              464                 
5			536                 534                 2253.00             1242.00             1011.00             51                  523.29              7.12                363.00              454                 
6			536                 534                 2056.00             1317.00             739.00              34                  529.76              8.74                297.00              484                 
7			536                 534                 2074.00             1197.00             877.00              43                  526.95              7.65                329.00              485                 
8			536                 535                 1833.00             1015.00             818.00              32                  528.72              9.78                313.00              341                 
9			536                 534                 1366.00             714.00              652.00              20                  532.40              12.05               241.00              269                 
10			536                 534                 1681.00             1009.00             672.00              23                  532.09              10.91               251.00              310                 
11			536                 535                 731.00              343.00              388.00              4                   535.25              32.25               129.00              64                  
12			536                 534                 2296.00             1453.00             843.00              41                  526.68              8.34                342.00              40                  
13			536                 534                 1711.00             991.00              720.00              25                  531.28              10.84               271.00              310                 
14			536                 534                 1577.00             941.00              636.00              22                  532.50              11.50               253.00              331                 
15			536                 535                 1129.00             624.00              505.00              11                  534.27              18.91               208.00              177                 
16			536                 535                 992.00              538.00              454.00              8                   534.75              22.13               177.00              136                 
17			536                 534                 1466.00             889.00              577.00              20                  532.75              12.40               248.00              331                 
18			536                 534                 1619.00             960.00              659.00              26                  531.35              10.08               262.00              402                 
19			536                 534                 1383.00             838.00              545.00              17                  533.35              13.88               236.00              290                 
20			536                 534                 1277.00             783.00              494.00              14                  533.86              15.43               216.00              239                 
21			536                 535                 736.00              343.00              393.00              4                   535.25              33.50               134.00              64                  
22			536                 534                 1813.00             1132.00             681.00              25                  531.92              10.84               271.00              351                 
23			536                 534                 2057.00             1235.00             822.00              40                  526.68              7.83                313.00              485                 
24			536                 535                 737.00              349.00              388.00              4                   535.25              32.00               128.00              64                  
25			536                 535                 732.00              341.00              391.00              4                   535.25              31.75               127.00              64                  
26			536                 534                 1664.00             1007.00             657.00              27                  531.52              10.15               274.00              423                 
27			536                 535                 1112.00             616.00              496.00              11                  534.27              18.00               198.00              177                 
28			536                 535                 996.00              545.00              451.00              8                   534.75              21.50               172.00              136                 
29			536                 535                 733.00              340.00              393.00              4                   535.25              32.25               129.00              64                  
30			536                 535                 1424.00             819.00              605.00              17                  533.12              13.94               237.00              249                 
31			536                 535                 931.00              477.00              454.00              7                   534.71              23.57               165.00              115                 
32			536                 535                 736.00              340.00              396.00              4                   535.25              33.00               132.00              64                  
33			536                 535                 1066.00             528.00              538.00              11                  533.82              18.09               199.00              156                 
34			536                 535                 990.00              535.00              455.00              8                   534.75              21.88               175.00              136                 
35			536                 535                 734.00              345.00              389.00              4                   535.25              31.75               127.00              64                  
36			536                 534                 1108.00             660.00              448.00              10                  534.50              19.00               190.00              177                 
37			536                 534                 1549.00             942.00              607.00              21                  532.38              11.90               250.00              331                 
38			536                 534                 1626.00             973.00              653.00              26                  531.46              10.42               271.00              402                 
39			536                 535                 913.00              461.00              452.00              7                   534.71              23.43               164.00              115                 
40			536                 535                 1001.00             549.00              452.00              8                   534.75              22.00               176.00              136                 
41			536                 535                 1357.00             700.00              657.00              19                  532.26              12.63               240.00              248                 
42			536                 535                 1005.00             550.00              455.00              8                   534.75              22.13               177.00              136                 
43			536                 535                 1009.00             510.00              499.00              9                   534.22              20.33               183.00              136                 
