#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
AcquiredAbnormalStructure_subClassOf_IllFormedBiologicalStructure     1         636                 635            8830.00        3377.00        5453.00        915            406.75              4.06                3718.00             986            
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
AcquiredPathologicalCondition_subClassOf_PathologicalRegion           2         636                 635            5317.00        1766.00        3551.00        329            553.25              6.35                2088.00             462            
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
AcquiredPathologicalState_subClassOf_PathologicalState                3         636                 635            5687.00        1917.00        3770.00        365            544.25              6.35                2319.00             574            
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
Action_subClassOf_ProcessualEntity                                    4         636                 635            7240.00        2923.00        4317.00        523            504.75              5.65                2953.00             1089           
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            Sanity         
1         -1        -1             -1             -1             -1             -1             -1                  -1                  -1                  -1             false          
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
AdultRegion_subClassOf_DevelopmentalRegion                            6         636                 635            4700.00        1458.00        3242.00        263            569.75              7.26                1910.00             208            
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
Affecting_subClassOf_Action                                           7         636                 635            9168.00        3591.00        5577.00        953            397.25              4.04                3853.00             1050           
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
AgeQuality_subClassOf_Quality                                         8         636                 635            6344.00        2319.00        4025.00        441            525.25              5.68                2503.00             373            
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
Alga_subClassOf_Eukaryote                                             9         636                 635            8522.00        3310.00        5212.00        791            437.75              4.44                3514.00             854            
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            Sanity         
1         -1        -1             -1             -1             -1             -1             -1                  -1                  -1                  -1             false          
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            Sanity         
1         -1        -1             -1             -1             -1             -1             -1                  -1                  -1                  -1             false          
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
AminoAcidOrPeptideMoleculeOrStructure_subClassOf_OrganicMolecularEntityPartition12        636                 635            8500.00        3310.00        5190.00        787            438.75              4.50                3540.00             833            
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            Sanity         
1         -1        -1             -1             -1             -1             -1             -1                  -1                  -1                  -1             false          
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            Sanity         
1         -1        -1             -1             -1             -1             -1             -1                  -1                  -1                  -1             false          
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
AminoAcidSequenceInformation_subClassOf_BioMolecularSequenceInformation15        636                 635            6166.00        2191.00        3975.00        407            533.75              5.94                2419.00             260            
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
AmountOfBodySubstance_subClassOf_AmountOfSubstance                    16        636                 635            9967.00        4044.00        5923.00        1225           329.25              3.31                4060.00             457            
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
AmountOfSubstance_subClassOf_CollectiveMaterialEntity                 17        636                 635            9972.00        4054.00        5918.00        1153           347.25              3.50                4041.00             416            
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
Amphibian_subClassOf_AnimalExcludingHuman                             18        636                 635            6114.00        2183.00        3931.00        401            535.25              6.43                2579.00             250            
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
Amphibian_subClassOf_Vertebrate                                       19        636                 635            9305.00        3676.00        5629.00        1015           381.75              3.75                3811.00             1154           
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
Analyzing_subClassOf_HumanAction                                      20        636                 635            3327.00        888.00         2439.00        131            602.75              10.13               1327.00             161            
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            Sanity         
1         -1        -1             -1             -1             -1             -1             -1                  -1                  -1                  -1             false          
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
AnimalExcludingHuman_subClassOf_AnimalIncludingHuman                  22        636                 635            9437.00        3671.00        5766.00        1041           375.25              3.93                4086.00             1196           
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
AnimalIncludingHuman_subClassOf_Eukaryote                             23        636                 635            5379.00        1807.00        3572.00        319            555.75              6.77                2160.00             422            
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
AnimalLanguage_subClassOf_LanguagePartition                           24        636                 635            8161.00        3149.00        5012.00        721            455.25              4.59                3311.00             686            
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            Sanity         
1         -1        -1             -1             -1             -1             -1             -1                  -1                  -1                  -1             false          
