1			624                 623                 34196.00            16017.00            18179.00            937                 385.28              13.32               12480.00            4108                
2			624                 622                 8005.00             3466.00             4539.00             153                 580.54              20.80               3182.00             843                 
3			624                 622                 36817.00            17471.00            19346.00            1013                366.05              13.14               13310.00            1401                
4			624                 622                 24987.00            4095.00             20892.00            1199                319.60              7.70                9238.00             3243                
5			624                 622                 25782.00            12016.00            13766.00            659                 453.96              14.22               9368.00             3654                
6			624                 622                 23456.00            3038.00             20418.00            1153                330.97              7.65                8820.00             2919                
7			624                 622                 35090.00            16334.00            18756.00            967                 377.46              13.29               12853.00            732                 
8			624                 622                 37502.00            17775.00            19727.00            1027                362.50              13.16               13518.00            1684                
9			624                 622                 26518.00            12537.00            13981.00            667                 452.17              14.21               9481.00             3814                
10			624                 623                 14502.00            6554.00             7948.00             323                 538.40              16.93               5470.00             1871                
11			624                 622                 32078.00            14818.00            17260.00            879                 399.32              13.43               11807.00            3223                
12			624                 623                 11551.00            5167.00             6384.00             251                 556.85              18.08               4539.00             613                 
13			624                 623                 3737.00             1355.00             2382.00             47                  608.28              34.47               1620.00             432                 
14			624                 622                 32480.00            14778.00            17702.00            901                 394.10              13.24               11931.00            3623                
15			624                 621                 32829.00            15214.00            17615.00            881                 398.75              14.04               12366.00            3223                
16			624                 620                 25083.00            4263.00             20820.00            1217                315.11              7.63                9289.00             3405                
17			624                 622                 29682.00            13222.00            16460.00            821                 413.85              13.40               10999.00            2254                
18			624                 622                 23792.00            3128.00             20664.00            1153                331.16              7.57                8729.00             2918                
19			624                 622                 32154.00            14701.00            17453.00            895                 395.78              13.37               11964.00            3462                
20			624                 622                 22252.00            10378.00            11874.00            553                 481.11              14.71               8133.00             1956                
21			624                 622                 18062.00            8394.00             9668.00             423                 513.72              16.08               6803.00             1658                
22			624                 622                 35954.00            16839.00            19115.00            1011                366.72              13.17               13312.00            1493                
23			624                 622                 26220.00            12034.00            14186.00            701                 443.48              13.52               9475.00             4285                
24			624                 622                 4733.00             1808.00             2925.00             77                  599.95              25.13               1935.00             474                 
25			624                 622                 37544.00            17607.00            19937.00            1027                362.63              13.41               13769.00            1778                
26			624                 622                 36129.00            16767.00            19362.00            1027                362.36              12.80               13149.00            1683                
27			624                 622                 36530.00            17052.00            19478.00            1027                362.57              12.96               13310.00            1683                
