1			624                 623                 2438.00             2438.00             0.00                23                  535.30              45.74               1052.00             404                 
2			624                 622                 2804.00             2804.00             0.00                49                  420.08              24.71               1211.00             476                 
3			624                 622                 3276.00             3276.00             0.00                44                  498.25              32.57               1433.00             334                 
4			624                 622                 3291.00             3291.00             0.00                47                  406.17              31.91               1500.00             266                 
5			624                 622                 3390.00             3390.00             0.00                51                  410.76              28.14               1435.00             385                 
6			624                 622                 3418.00             3418.00             0.00                45                  496.33              32.87               1479.00             330                 
7			624                 622                 3030.00             3030.00             0.00                35                  556.03              39.66               1388.00             123                 
8			624                 622                 3130.00             3130.00             0.00                44                  490.02              31.45               1384.00             202                 
9			624                 622                 3632.00             3632.00             0.00                48                  494.54              34.71               1666.00             318                 
10			624                 623                 2530.00             2530.00             0.00                25                  530.20              46.56               1164.00             414                 
11			624                 622                 2507.00             2507.00             0.00                44                  487.82              26.55               1168.00             322                 
12			624                 623                 2262.00             2262.00             0.00                22                  538.05              47.86               1053.00             363                 
13			624                 623                 2486.00             2486.00             0.00                25                  534.12              51.12               1278.00             219                 
14			624                 622                 3377.00             3377.00             0.00                41                  552.07              36.05               1478.00             291                 
15			624                 621                 3962.00             3962.00             0.00                56                  513.18              30.38               1701.00             59                  
16			624                 620                 3189.00             3189.00             0.00                87                  376.08              15.82               1376.00             94                  
17			624                 622                 3315.00             3315.00             0.00                41                  550.44              35.56               1458.00             265                 
18			624                 622                 3373.00             3373.00             0.00                49                  404.82              28.78               1410.00             343                 
19			624                 622                 3111.00             3111.00             0.00                51                  407.53              26.10               1331.00             36                  
20			624                 622                 3184.00             3184.00             0.00                39                  532.85              37.05               1445.00             227                 
21			624                 622                 3555.00             3555.00             0.00                47                  489.13              34.51               1622.00             316                 
22			624                 622                 3355.00             3355.00             0.00                49                  406.57              27.45               1345.00             363                 
23			624                 622                 3183.00             3183.00             0.00                44                  491.91              30.66               1349.00             221                 
24			624                 622                 2686.00             2686.00             0.00                47                  402.21              24.74               1163.00             424                 
25			624                 622                 3479.00             3479.00             0.00                44                  491.27              34.84               1533.00             304                 
26			624                 622                 3358.00             3358.00             0.00                44                  535.98              34.30               1509.00             260                 
27			624                 622                 3178.00             3178.00             0.00                38                  555.16              37.03               1407.00             217                 
28			624                 622                 3138.00             3138.00             0.00                48                  397.02              28.77               1381.00             191                 
29			624                 622                 3522.00             3522.00             0.00                46                  492.89              32.35               1488.00             330                 
30			624                 622                 3406.00             3406.00             0.00                44                  486.66              31.50               1386.00             293                 
31			624                 622                 3184.00             3184.00             0.00                45                  491.69              30.89               1390.00             304                 
32			624                 622                 3532.00             3532.00             0.00                44                  536.86              34.86               1534.00             356                 
33			624                 622                 3047.00             3047.00             0.00                52                  405.04              24.06               1251.00             35                  
34			624                 622                 3437.00             3437.00             0.00                50                  409.88              29.56               1478.00             394                 
35			624                 622                 3272.00             3272.00             0.00                45                  411.04              30.80               1386.00             298                 
36			624                 622                 3353.00             3353.00             0.00                47                  406.23              30.81               1448.00             322                 
37			624                 622                 3305.00             3305.00             0.00                46                  414.30              30.91               1422.00             304                 
38			624                 622                 2916.00             2916.00             0.00                48                  402.44              25.60               1229.00             466                 
39			624                 622                 2677.00             2677.00             0.00                48                  403.88              24.58               1180.00             353                 
40			624                 622                 3508.00             3508.00             0.00                44                  491.20              33.57               1477.00             301                 
41			624                 622                 3438.00             3438.00             0.00                46                  493.98              33.54               1543.00             255                 
42			624                 622                 3419.00             3419.00             0.00                46                  487.87              33.17               1526.00             355                 
43			624                 622                 3224.00             3224.00             0.00                43                  529.95              33.98               1461.00             184                 
44			624                 622                 3427.00             3427.00             0.00                45                  499.53              31.71               1427.00             281                 
45			624                 622                 3345.00             3345.00             0.00                47                  413.02              31.06               1460.00             36                  
46			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
47			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
48			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
49			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
50			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
51			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
52			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
53			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
54			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
55			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
56			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
57			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
58			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
59			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
60			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
61			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
62			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
63			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
64			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
65			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
66			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
67			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
