1			524                 523                 1004.00             440.00              564.00              4                   523.25              99.50               398.00              64                  
2			524                 523                 1638.00             859.00              779.00              11                  522.27              52.45               577.00              208                 
3			524                 523                 1559.00             776.00              783.00              10                  522.20              56.10               561.00              177                 
4			524                 523                 1662.00             768.00              894.00              13                  521.31              47.31               615.00              229                 
5			524                 523                 1549.00             769.00              780.00              11                  522.27              51.91               571.00              207                 
6			524                 523                 1738.00             841.00              897.00              14                  521.36              45.29               634.00              239                 
7			524                 523                 1509.00             732.00              777.00              10                  522.20              55.50               555.00              177                 
8			524                 523                 1834.00             893.00              941.00              15                  520.93              43.33               650.00              249                 
9			524                 523                 1005.00             445.00              560.00              4                   523.25              100.25              401.00              64                  
10			524                 523                 1291.00             621.00              670.00              7                   522.71              69.29               485.00              125                 
11			524                 523                 1481.00             703.00              778.00              10                  522.20              55.30               553.00              177                 
12			524                 523                 1635.00             855.00              780.00              11                  522.27              52.45               577.00              208                 
13			524                 523                 1008.00             440.00              568.00              4                   523.25              102.25              409.00              64                  
14			524                 523                 1007.00             442.00              565.00              4                   523.25              100.75              403.00              64                  
15			524                 523                 1008.00             442.00              566.00              4                   523.25              100.00              400.00              64                  
16			524                 523                 1003.00             441.00              562.00              4                   523.25              100.25              401.00              64                  
17			524                 523                 1560.00             785.00              775.00              10                  522.20              56.10               561.00              177                 
18			524                 523                 1383.00             713.00              670.00              8                   522.75              63.13               505.00              146                 
19			524                 523                 1398.00             612.00              786.00              9                   522.22              60.00               540.00              156                 
20			524                 523                 1777.00             933.00              844.00              13                  521.92              46.85               609.00              239                 
21			524                 523                 1382.00             713.00              669.00              8                   522.75              62.88               503.00              146                 
22			524                 523                 1699.00             861.00              838.00              12                  521.83              49.25               591.00              208                 
23			524                 523                 1373.00             700.00              673.00              8                   522.75              63.75               510.00              146                 
24			524                 523                 1475.00             697.00              778.00              9                   522.22              60.22               542.00              156                 
25			524                 523                 2090.00             1011.00             1079.00             20                  519.80              37.15               743.00              311                 
26			524                 523                 2246.00             1057.00             1189.00             25                  518.68              32.20               805.00              372                 
27			524                 523                 998.00              438.00              560.00              4                   523.25              100.00              400.00              64                  
28			524                 523                 1481.00             700.00              781.00              9                   522.22              60.44               544.00              156                 
29			524                 523                 2097.00             941.00              1156.00             22                  518.86              35.23               775.00              321                 
30			524                 523                 1551.00             772.00              779.00              10                  522.20              55.70               557.00              177                 
31			524                 523                 2420.00             1113.00             1307.00             29                  517.55              29.90               867.00              413                 
32			524                 523                 2103.00             969.00              1134.00             21                  519.48              36.43               765.00              321                 
33			524                 523                 1716.00             871.00              845.00              12                  521.83              49.58               595.00              208                 
34			524                 523                 1387.00             714.00              673.00              8                   522.75              63.13               505.00              146                 
35			524                 523                 1704.00             861.00              843.00              12                  521.83              49.33               592.00              208                 
36			524                 523                 1482.00             702.00              780.00              9                   522.22              60.33               543.00              156                 
37			524                 523                 1707.00             864.00              843.00              12                  521.92              49.33               592.00              208                 
38			524                 522                 1812.00             1031.00             781.00              13                  522.15              47.62               619.00              249                 
39			524                 523                 1732.00             834.00              898.00              14                  521.50              45.21               633.00              239                 
40			524                 523                 1380.00             711.00              669.00              8                   522.75              63.00               504.00              146                 
41			524                 523                 1395.00             718.00              677.00              8                   522.75              63.25               506.00              146                 
42			524                 522                 1937.00             1041.00             896.00              17                  521.24              40.71               692.00              311                 
43			524                 523                 1470.00             692.00              778.00              9                   522.22              59.89               539.00              156                 
44			524                 523                 1017.00             448.00              569.00              4                   523.25              100.50              402.00              64                  
45			524                 523                 1466.00             681.00              785.00              9                   522.22              59.89               539.00              156                 
46			524                 523                 1810.00             911.00              899.00              15                  521.47              43.67               655.00              260                 
47			524                 522                 1720.00             934.00              786.00              13                  521.85              47.31               615.00              249                 
48			524                 523                 1286.00             617.00              669.00              7                   522.71              69.71               488.00              125                 
49			524                 523                 1427.00             648.00              779.00              9                   522.22              59.33               534.00              156                 
50			524                 523                 1849.00             899.00              950.00              15                  521.00              43.73               656.00              249                 
51			524                 522                 2113.00             1165.00             948.00              19                  520.95              37.89               720.00              342                 
52			524                 523                 1294.00             626.00              668.00              7                   522.71              69.29               485.00              125                 
53			524                 523                 2087.00             1002.00             1085.00             20                  519.80              36.95               739.00              311                 
54			524                 523                 2027.00             1028.00             999.00              18                  520.72              39.39               709.00              300                 
55			524                 522                 2077.00             1179.00             898.00              19                  520.74              37.95               721.00              362                 
56			524                 523                 1373.00             713.00              660.00              8                   522.75              62.75               502.00              146                 
57			524                 523                 1012.00             448.00              564.00              4                   523.25              99.25               397.00              64                  
58			524                 523                 990.00              435.00              555.00              4                   523.25              97.50               390.00              64                  
59			524                 523                 1011.00             451.00              560.00              4                   523.25              99.50               398.00              64                  
60			524                 523                 973.00              427.00              546.00              4                   523.25              96.00               384.00              64                  
61			524                 523                 1443.00             682.00              761.00              10                  522.20              53.00               530.00              177                 
62			524                 523                 1417.00             747.00              670.00              8                   522.75              67.00               536.00              146                 
63			524                 523                 2062.00             934.00              1128.00             22                  518.86              34.27               754.00              321                 
64			524                 523                 1265.00             603.00              662.00              7                   522.71              67.00               469.00              125                 
65			524                 523                 990.00              439.00              551.00              4                   523.25              95.75               383.00              64                  
66			524                 523                 2036.00             958.00              1078.00             19                  519.68              37.95               721.00              291                 
67			524                 523                 2316.00             1027.00             1289.00             29                  516.76              29.00               841.00              393                 
68			524                 523                 1364.00             604.00              760.00              9                   522.22              57.33               516.00              156                 
69			524                 523                 1072.00             471.00              601.00              4                   523.25              106.25              425.00              64                  
70			524                 523                 2005.00             1035.00             970.00              18                  520.72              38.56               694.00              300                 
71			524                 523                 2465.00             1121.00             1344.00             30                  517.03              29.67               890.00              424                 
72			524                 523                 1876.00             883.00              993.00              15                  520.93              46.73               701.00              249                 
73			524                 523                 1347.00             647.00              700.00              7                   522.71              72.57               508.00              125                 
74			524                 523                 2208.00             1010.00             1198.00             25                  518.16              31.52               788.00              362                 
75			524                 523                 1079.00             484.00              595.00              4                   523.25              105.25              421.00              64                  
