1			190                 189                 782.00              782.00              0.00                20                  154.30              18.80               376.00              43                  
2			190                 187                 1052.00             1052.00             0.00                49                  148.27              10.04               492.00              64                  
3			190                 184                 1270.00             1270.00             0.00                86                  116.45              6.92                595.00              95                  
4			190                 188                 1020.00             1020.00             0.00                38                  148.37              12.95               492.00              75                  
5			190                 188                 1086.00             1086.00             0.00                43                  120.37              11.58               498.00              54                  
6			190                 188                 857.00              857.00              0.00                33                  166.09              12.09               399.00              54                  
7			190                 187                 1158.00             1158.00             0.00                56                  124.11              9.89                554.00              85                  
8			190                 187                 1064.00             1064.00             0.00                49                  137.78              10.41               510.00              75                  
9			190                 187                 1020.00             1020.00             0.00                48                  136.60              9.69                465.00              75                  
10			190                 188                 857.00              857.00              0.00                32                  164.66              12.97               415.00              54                  
