1			1112                1109                7406.00             3081.00             4325.00             191                 1063.96             10.68               2039.00             266                 
2			1112                1109                4693.00             1700.00             2993.00             101                 1086.27             13.62               1376.00             469                 
3			1112                1107                3480.00             1292.00             2188.00             55                  1096.93             21.71               1194.00             74                  
4			1112                1109                7107.00             2930.00             4177.00             183                 1065.68             11.13               2037.00             174                 
5			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
6			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
7			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
8			1112                1109                5153.00             1965.00             3188.00             115                 1082.55             12.66               1456.00             105                 
9			1112                1107                145367.00           142157.00           3210.00             115                 1082.57             1232.16             141698.00           76                  
10			1112                1109                3278.00             1104.00             2174.00             53                  1098.06             20.26               1074.00             44                  
11			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
12			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
13			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
14			1112                1109                6508.00             2617.00             3891.00             159                 1071.65             11.53               1834.00             494                 
15			1112                1109                5532.00             2189.00             3343.00             125                 1079.94             12.37               1546.00             191                 
16			1112                1109                5428.00             2082.00             3346.00             125                 1080.15             12.10               1513.00             196                 
17			1112                1106                3421.00             1448.00             1973.00             49                  1098.37             26.20               1284.00             23                  
18			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
19			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
20			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
21			1112                1109                1920.00             666.00              1254.00             19                  1106.47             38.00               722.00              197                 
22			1112                1109                5425.00             2082.00             3343.00             123                 1080.78             12.23               1504.00             186                 
23			1112                1109                6851.00             2801.00             4050.00             171                 1069.06             11.06               1891.00             93                  
24			1112                1109                6848.00             2890.00             3958.00             167                 1069.69             12.28               2050.00             52                  
25			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
26			1112                1107                4172.00             1638.00             2534.00             79                  1090.59             16.99               1342.00             288                 
27			1112                1109                5100.00             1946.00             3154.00             113                 1083.06             12.74               1440.00             85                  
28			1112                1109                5861.00             2320.00             3541.00             139                 1076.36             12.05               1675.00             318                 
29			1112                1109                1897.00             555.00              1342.00             23                  1105.52             24.43               562.00              238                 
30			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
31			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
32			1112                1109                6973.00             2887.00             4086.00             177                 1067.32             11.19               1981.00             134                 
33			1112                1109                7617.00             3192.00             4425.00             191                 1063.79             10.81               2064.00             286                 
34			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
35			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
36			1112                1109                4177.00             1556.00             2621.00             87                  1089.01             13.70               1192.00             349                 
37			1112                1109                3505.00             1176.00             2329.00             59                  1096.46             19.03               1123.00             106                 
38			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
39			1112                1110                3192.00             1087.00             2105.00             55                  1098.00             16.02               881.00              54                  
