1			292                 290                 4456.00             1699.00             2757.00             573                 148.08              3.40                1949.00             126                 
2			292                 290                 4597.00             1764.00             2833.00             533                 157.92              3.85                2054.00             127                 
3			292                 290                 2017.00             572.00              1445.00             89                  269.12              11.25               1001.00             146                 
4			292                 290                 4588.00             1785.00             2803.00             491                 168.74              4.16                2045.00             119                 
5			292                 290                 3801.00             1236.00             2565.00             365                 199.84              4.73                1726.00             444                 
6			292                 290                 4571.00             1808.00             2763.00             475                 172.67              4.54                2155.00             121                 
7			292                 290                 3630.00             1135.00             2495.00             347                 204.40              4.80                1664.00             434                 
8			292                 290                 3096.00             918.00              2178.00             211                 238.32              6.85                1446.00             311                 
9			292                 291                 3777.00             1226.00             2551.00             367                 199.75              4.69                1721.00             455                 
10			292                 290                 4446.00             1683.00             2763.00             491                 168.54              4.24                2081.00             119                 
11			292                 290                 3409.00             1073.00             2336.00             275                 222.75              5.67                1560.00             372                 
12			292                 290                 4520.00             1591.00             2929.00             559                 151.58              3.53                1976.00             126                 
13			292                 290                 4181.00             1483.00             2698.00             443                 180.66              4.41                1952.00             111                 
14			292                 290                 3815.00             1241.00             2574.00             379                 196.70              4.60                1745.00             454                 
15			292                 290                 2027.00             566.00              1461.00             91                  268.63              10.93               995.00              157                 
16			292                 290                 2197.00             721.00              1476.00             93                  268.10              11.49               1069.00             157                 
17			292                 290                 3921.00             1293.00             2628.00             395                 192.41              4.50                1779.00             475                 
18			292                 290                 4190.00             1440.00             2750.00             395                 192.49              4.88                1927.00             475                 
19			292                 290                 4507.00             1356.00             3151.00             395                 192.27              5.22                2060.00             475                 
20			292                 290                 4045.00             1316.00             2729.00             395                 192.50              4.65                1836.00             475                 
21			292                 290                 5598.00             1728.00             3870.00             551                 153.33              4.64                2558.00             117                 
22			292                 290                 2737.00             879.00              1858.00             155                 252.49              8.32                1289.00             249                 
23			292                 290                 1939.00             483.00              1456.00             73                  273.03              13.33               973.00              126                 
24			292                 290                 4604.00             1695.00             2909.00             573                 148.08              3.62                2073.00             126                 
25			292                 290                 2834.00             887.00              1947.00             181                 245.80              7.32                1325.00             280                 
26			292                 290                 3377.00             1059.00             2318.00             273                 223.16              5.69                1553.00             372                 
27			292                 290                 4654.00             1749.00             2905.00             491                 168.36              4.49                2205.00             119                 
28			292                 290                 3715.00             1201.00             2514.00             337                 206.92              5.01                1689.00             424                 
29			292                 290                 4117.00             1412.00             2705.00             383                 195.32              4.83                1850.00             465                 
30			292                 290                 4912.00             1830.00             3082.00             549                 154.13              4.20                2304.00             139                 
31			292                 290                 3786.00             1193.00             2593.00             347                 204.64              5.00                1734.00             434                 
32			292                 290                 4480.00             1297.00             3183.00             399                 191.40              5.23                2088.00             475                 
33			292                 290                 4561.00             1766.00             2795.00             467                 174.68              4.58                2137.00             120                 
34			292                 290                 5569.00             2046.00             3523.00             551                 153.40              4.48                2470.00             126                 
35			292                 290                 1599.00             396.00              1203.00             49                  279.22              16.65               816.00              95                  
36			292                 290                 1550.00             388.00              1162.00             49                  279.24              16.04               786.00              95                  
37			292                 290                 4556.00             1708.00             2848.00             507                 164.30              4.05                2055.00             129                 
