1			259                 257                 1888.00             1888.00             0.00                259                 129.25              3.30                855.00              270                 
2			259                 257                 1967.00             1967.00             0.00                259                 129.35              3.49                903.00              270                 
3			259                 257                 1963.00             1963.00             0.00                259                 128.98              3.56                921.00              270                 
4			259                 257                 2086.00             2086.00             0.00                259                 128.92              4.04                1047.00             281                 
5			259                 257                 2171.00             2171.00             0.00                259                 129.43              4.17                1080.00             270                 
6			259                 257                 1899.00             1899.00             0.00                259                 128.95              3.38                876.00              270                 
7			259                 257                 1814.00             1814.00             0.00                259                 129.10              3.13                811.00              270                 
8			259                 257                 1912.00             1912.00             0.00                259                 128.97              3.41                882.00              270                 
9			259                 257                 1850.00             1850.00             0.00                259                 129.12              3.23                837.00              270                 
10			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
11			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
12			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
13			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
14			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
15			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
16			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
17			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
18			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
