1			936                 934                 12981.00            4623.00             8358.00             1683                514.66              2.44                4114.00             1570                
2			936                 934                 13571.00            5040.00             8531.00             1831                477.67              2.44                4467.00             1686                
3			936                 934                 12382.00            4444.00             7938.00             1433                576.78              2.74                3924.00             1352                
4			936                 934                 10195.00            3520.00             6675.00             907                 708.46              3.60                3268.00             1239                
5			936                 934                 12805.00            4532.00             8273.00             1643                524.63              2.47                4059.00             1570                
6			936                 934                 9933.00             3452.00             6481.00             819                 730.47              3.99                3264.00             1049                
7			936                 934                 11666.00            4158.00             7508.00             1215                631.57              3.02                3671.00             1020                
8			936                 935                 5556.00             1655.00             3901.00             259                 870.75              6.91                1789.00             177                 
9			936                 934                 11134.00            4004.00             7130.00             1011                682.74              3.43                3463.00             616                 
10			936                 935                 11617.00            4237.00             7380.00             1171                642.75              3.31                3873.00             942                 
11			936                 935                 2176.00             614.00              1562.00             45                  924.24              19.84               893.00              208                 
12			936                 934                 9519.00             3466.00             6053.00             721                 755.25              4.17                3005.00             785                 
13			936                 933                 11738.00            4349.00             7389.00             1169                643.02              3.23                3771.00             939                 
14			936                 932                 12734.00            4918.00             7816.00             1347                598.46              3.20                4308.00             1256                
15			936                 934                 9100.00             3202.00             5898.00             657                 770.92              4.50                2954.00             600                 
16			936                 934                 12773.00            4521.00             8252.00             1599                535.53              2.54                4058.00             1485                
17			936                 934                 12388.00            4296.00             8092.00             1597                535.98              2.55                4079.00             1477                
18			936                 934                 11810.00            4341.00             7469.00             1233                627.04              3.06                3777.00             1061                
19			936                 934                 11760.00            4289.00             7471.00             1233                626.99              3.13                3865.00             1061                
20			936                 934                 9920.00             3423.00             6497.00             815                 731.69              4.06                3312.00             1048                
21			936                 934                 12348.00            4615.00             7733.00             1433                577.10              2.69                3848.00             1352                
22			936                 934                 10885.00            3979.00             6906.00             997                 685.79              3.41                3401.00             575                 
23			936                 934                 9884.00             3368.00             6516.00             819                 730.61              3.88                3175.00             1035                
24			936                 934                 11569.00            4322.00             7247.00             1093                662.18              3.45                3769.00             781                 
25			936                 934                 9969.00             3468.00             6501.00             819                 730.55              3.99                3266.00             1035                
26			936                 934                 11448.00            4250.00             7198.00             1099                660.68              3.47                3815.00             821                 
27			936                 934                 10922.00            3988.00             6934.00             945                 699.04              3.97                3754.00             467                 
28			936                 934                 10907.00            3878.00             7029.00             1001                684.82              3.55                3551.00             575                 
29			936                 934                 12460.00            4630.00             7830.00             1419                580.28              2.83                4022.00             1352                
30			936                 934                 12220.00            4470.00             7750.00             1375                591.45              2.91                4008.00             1269                
31			936                 934                 12867.00            4740.00             8127.00             1539                550.55              2.70                4155.00             1473                
32			936                 934                 12652.00            4453.00             8199.00             1565                543.98              2.57                4017.00             1477                
33			936                 934                 10656.00            3787.00             6869.00             907                 708.29              3.79                3434.00             403                 
34			936                 934                 12556.00            4428.00             8128.00             1461                569.92              2.70                3950.00             1391                
35			936                 934                 5742.00             1888.00             3854.00             293                 861.82              6.14                1798.00             299                 
36			936                 934                 12862.00            4662.00             8200.00             1711                507.53              2.44                4168.00             1570                
37			936                 934                 12723.00            4461.00             8262.00             1567                543.64              2.66                4174.00             1479                
38			936                 934                 13118.00            4651.00             8467.00             1703                509.27              2.47                4200.00             1609                
39			936                 934                 13095.00            4837.00             8258.00             1765                494.23              2.36                4170.00             1653                
40			936                 934                 12854.00            4682.00             8172.00             1531                552.74              2.67                4087.00             1475                
41			936                 934                 12543.00            4654.00             7889.00             1423                579.27              2.79                3965.00             1319                
42			936                 934                 10884.00            3924.00             6960.00             997                 685.77              3.39                3376.00             612                 
43			936                 934                 12086.00            4400.00             7686.00             1335                601.27              3.02                4027.00             1228                
44			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
45			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
46			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
47			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
48			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
49			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
50			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
51			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
52			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
53			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
54			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
55			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
56			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
57			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
58			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
59			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
60			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
61			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
62			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
