1			842                 841                 2149.00             1374.00             775.00              11                  840.27              49.64               546.00              403                 
2			842                 840                 3494.00             2236.00             1258.00             29                  836.59              28.86               837.00              32                  
3			842                 840                 3442.00             2324.00             1118.00             22                  838.55              34.50               759.00              312                 
4			842                 840                 2817.00             1899.00             918.00              17                  839.41              38.35               652.00              178                 
5			842                 840                 3671.00             2417.00             1254.00             26                  837.62              30.85               802.00              375                 
6			842                 840                 3191.00             2049.00             1142.00             17                  839.24              50.47               858.00              158                 
7			842                 840                 4336.00             3109.00             1227.00             29                  836.97              37.79               1096.00             80                  
8			842                 840                 3374.00             2222.00             1152.00             22                  838.18              33.77               743.00              262                 
9			842                 840                 3921.00             2709.00             1212.00             27                  837.56              31.04               838.00              19                  
10			842                 840                 3988.00             2774.00             1214.00             30                  836.93              28.80               864.00              124                 
11			842                 840                 3640.00             2362.00             1278.00             25                  837.68              32.24               806.00              324                 
12			842                 840                 2739.00             1706.00             1033.00             18                  838.94              38.00               684.00              149                 
13			842                 840                 2789.00             1906.00             883.00              16                  839.38              47.25               756.00              147                 
14			842                 840                 3065.00             2094.00             971.00              20                  838.75              38.45               769.00              290                 
15			842                 841                 2487.00             1379.00             1108.00             16                  838.50              41.50               664.00              465                 
16			842                 841                 2418.00             1372.00             1046.00             15                  839.00              42.67               640.00              454                 
17			842                 841                 2071.00             1191.00             880.00              11                  839.82              51.27               564.00              342                 
18			842                 841                 2200.00             1240.00             960.00              13                  839.38              46.00               598.00              393                 
19			842                 841                 2287.00             1228.00             1059.00             14                  838.93              46.21               647.00              403                 
20			842                 841                 3825.00             2364.00             1461.00             27                  836.37              32.56               879.00              286                 
21			842                 841                 2192.00             1224.00             968.00              13                  839.38              46.38               603.00              403                 
22			842                 841                 1679.00             1010.00             669.00              7                   840.71              62.29               436.00              228                 
23			842                 841                 2398.00             1360.00             1038.00             15                  839.00              42.80               642.00              454                 
24			842                 841                 1831.00             1163.00             668.00              8                   840.75              56.75               454.00              290                 
25			842                 841                 1323.00             723.00              600.00              4                   841.25              89.75               359.00              126                 
26			842                 841                 3221.00             2041.00             1180.00             20                  838.35              36.95               739.00              160                 
27			842                 841                 2319.00             1421.00             898.00              13                  839.92              45.46               591.00              455                 
28			842                 841                 3031.00             1921.00             1110.00             18                  838.72              39.17               705.00              99                  
29			842                 841                 2549.00             1507.00             1042.00             16                  839.13              41.13               658.00              48                  
30			842                 841                 1712.00             1029.00             683.00              7                   840.71              62.71               439.00              228                 
31			842                 841                 2975.00             1805.00             1170.00             18                  838.11              39.44               710.00              60                  
32			842                 841                 1200.00             648.00              552.00              4                   841.25              81.50               326.00              126                 
33			842                 841                 1868.00             1082.00             786.00              9                   840.22              56.56               509.00              280                 
34			842                 841                 1202.00             653.00              549.00              4                   841.25              80.25               321.00              126                 
35			842                 841                 2403.00             1353.00             1050.00             15                  839.00              43.27               649.00              465                 
36			842                 841                 2303.00             1258.00             1045.00             13                  839.31              49.85               648.00              403                 
37			842                 841                 2193.00             1307.00             886.00              12                  839.83              46.83               562.00              393                 
38			842                 841                 2948.00             1834.00             1114.00             17                  838.59              40.29               685.00              49                  
39			842                 840                 4391.00             3083.00             1308.00             33                  836.06              26.73               882.00              193                 
40			842                 841                 1875.00             1070.00             805.00              9                   840.22              58.00               522.00              290                 
41			842                 840                 3727.00             2567.00             1160.00             26                  837.46              30.15               784.00              465                 
42			842                 841                 2923.00             1787.00             1136.00             17                  838.65              41.35               703.00              49                  
43			842                 841                 1212.00             656.00              556.00              4                   841.25              82.50               330.00              126                 
44			842                 841                 2678.00             1633.00             1045.00             17                  839.12              39.88               678.00              98                  
45			842                 841                 3532.00             2006.00             1526.00             23                  836.35              48.74               1121.00             143                 
46			842                 840                 3523.00             2180.00             1343.00             29                  836.38              30.07               872.00              26                  
47			842                 841                 2335.00             1370.00             965.00              14                  839.50              44.86               628.00              455                 
48			842                 840                 3253.00             2150.00             1103.00             24                  837.71              31.58               758.00              414                 
49			842                 841                 2132.00             1172.00             960.00              11                  839.82              53.82               592.00              342                 
50			842                 841                 1700.00             1020.00             680.00              7                   840.71              63.00               441.00              228                 
51			842                 841                 3394.00             2284.00             1110.00             18                  838.72              56.06               1009.00             119                 
52			842                 840                 3618.00             2408.00             1210.00             25                  837.88              33.92               848.00              374                 
