1			155                 153                 980.00              980.00              0.00                36                  118.58              10.08               363.00              44                  
2			155                 153                 1017.00             1017.00             0.00                40                  95.80               9.53                381.00              33                  
3			155                 153                 969.00              969.00              0.00                39                  94.44               9.21                359.00              33                  
4			155                 153                 1023.00             1023.00             0.00                36                  116.61              11.31               407.00              44                  
5			155                 153                 789.00              789.00              0.00                38                  117.39              7.76                295.00              44                  
6			155                 153                 759.00              759.00              0.00                34                  119.35              8.65                294.00              33                  
7			155                 153                 804.00              804.00              0.00                36                  119.06              8.89                320.00              44                  
8			155                 153                 830.00              830.00              0.00                37                  119.19              9.08                336.00              44                  
9			155                 153                 761.00              761.00              0.00                34                  119.85              8.82                300.00              33                  
10			155                 153                 827.00              827.00              0.00                36                  118.00              9.58                345.00              44                  
11			155                 153                 783.00              783.00              0.00                35                  119.03              9.23                323.00              33                  
12			155                 153                 781.00              781.00              0.00                38                  96.26               7.50                285.00              33                  
13			155                 153                 764.00              764.00              0.00                38                  96.87               7.71                293.00              33                  
14			155                 153                 772.00              772.00              0.00                35                  116.69              8.11                284.00              33                  
15			155                 153                 753.00              753.00              0.00                36                  94.72               7.86                283.00              33                  
16			155                 153                 755.00              755.00              0.00                39                  98.05               6.97                272.00              33                  
17			155                 153                 794.00              794.00              0.00                39                  96.28               8.18                319.00              44                  
18			155                 153                 759.00              759.00              0.00                28                  130.57              10.86               304.00              44                  
19			155                 153                 768.00              768.00              0.00                38                  99.50               7.66                291.00              33                  
20			155                 153                 764.00              764.00              0.00                37                  96.73               7.92                293.00              33                  
21			155                 153                 860.00              860.00              0.00                36                  119.42              9.47                341.00              44                  
22			155                 153                 762.00              762.00              0.00                30                  133.20              10.33               310.00              44                  
23			155                 153                 769.00              769.00              0.00                37                  97.89               8.22                304.00              33                  
24			155                 153                 798.00              798.00              0.00                41                  97.95               7.66                314.00              44                  
25			155                 153                 778.00              778.00              0.00                33                  128.79              9.58                316.00              33                  
26			155                 153                 743.00              743.00              0.00                36                  94.44               7.56                272.00              33                  
27			155                 153                 776.00              776.00              0.00                32                  126.84              9.78                313.00              33                  
28			155                 153                 754.00              754.00              0.00                39                  95.77               7.38                288.00              33                  
29			155                 153                 761.00              761.00              0.00                38                  99.87               7.50                285.00              33                  
30			155                 153                 773.00              773.00              0.00                32                  126.75              9.38                300.00              33                  
31			155                 153                 760.00              760.00              0.00                30                  131.63              10.13               304.00              44                  
32			155                 153                 808.00              808.00              0.00                33                  128.03              9.94                328.00              44                  
33			155                 153                 772.00              772.00              0.00                34                  116.71              8.94                304.00              44                  
34			155                 153                 794.00              794.00              0.00                39                  96.41               8.03                313.00              33                  
35			155                 153                 740.00              740.00              0.00                37                  93.76               7.30                270.00              33                  
36			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
37			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
38			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
39			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
40			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
41			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
42			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
43			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
44			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
45			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
46			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
47			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
48			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
49			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
50			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
51			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
52			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
