1			403                 402                 2628.00             2628.00             0.00                403                 201.89              2.91                1174.00             111                 
2			403                 402                 2669.00             2669.00             0.00                403                 201.89              2.82                1138.00             103                 
3			403                 402                 2643.00             2643.00             0.00                403                 201.89              2.65                1068.00             110                 
4			403                 402                 2713.00             2713.00             0.00                403                 201.89              2.82                1138.00             102                 
5			403                 402                 2636.00             2636.00             0.00                403                 201.89              2.89                1166.00             111                 
6			403                 402                 2584.00             2584.00             0.00                403                 201.95              2.67                1074.00             111                 
7			403                 402                 2565.00             2565.00             0.00                403                 201.95              2.68                1080.00             110                 
8			403                 402                 2636.00             2636.00             0.00                403                 201.95              2.71                1092.00             111                 
9			403                 401                 2655.00             2655.00             0.00                403                 201.50              2.76                1111.00             103                 
10			403                 402                 2462.00             2462.00             0.00                403                 201.95              2.55                1028.00             103                 
11			403                 402                 2664.00             2664.00             0.00                403                 201.95              2.68                1079.00             111                 
12			403                 402                 2637.00             2637.00             0.00                403                 201.95              2.77                1117.00             111                 
13			403                 402                 2586.00             2586.00             0.00                403                 201.95              2.57                1036.00             111                 
14			403                 402                 2636.00             2636.00             0.00                403                 201.95              2.79                1125.00             102                 
15			403                 402                 3027.00             3027.00             0.00                403                 201.95              3.21                1292.00             111                 
16			403                 402                 3240.00             3240.00             0.00                403                 201.95              3.22                1297.00             103                 
17			403                 402                 2631.00             2631.00             0.00                403                 201.95              2.77                1117.00             102                 
18			403                 402                 2703.00             2703.00             0.00                403                 201.95              2.86                1151.00             111                 
19			403                 402                 2705.00             2705.00             0.00                403                 201.89              2.83                1139.00             111                 
20			403                 401                 2566.00             2566.00             0.00                403                 201.50              2.60                1049.00             111                 
21			403                 402                 2614.00             2614.00             0.00                403                 201.89              2.69                1083.00             102                 
22			403                 402                 2614.00             2614.00             0.00                403                 201.89              2.83                1140.00             110                 
23			403                 402                 2677.00             2677.00             0.00                403                 201.89              2.75                1109.00             102                 
24			403                 402                 2554.00             2554.00             0.00                403                 201.89              2.56                1030.00             110                 
25			403                 402                 2566.00             2566.00             0.00                403                 201.92              2.52                1016.00             110                 
26			403                 402                 2615.00             2615.00             0.00                403                 201.89              2.71                1091.00             111                 
27			403                 402                 2637.00             2637.00             0.00                403                 201.89              2.75                1107.00             111                 
28			403                 402                 2775.00             2775.00             0.00                403                 201.89              3.00                1208.00             111                 
29			403                 402                 2620.00             2620.00             0.00                403                 201.89              2.69                1083.00             102                 
30			403                 402                 2791.00             2791.00             0.00                403                 201.89              2.89                1163.00             103                 
31			403                 402                 2594.00             2594.00             0.00                403                 201.89              2.66                1071.00             102                 
32			403                 402                 2666.00             2666.00             0.00                403                 201.89              2.90                1169.00             111                 
33			403                 402                 2781.00             2781.00             0.00                403                 201.89              2.81                1131.00             103                 
34			403                 402                 2509.00             2509.00             0.00                403                 201.90              2.48                998.00              102                 
