1			403                 402                 809.00              809.00              0.00                21                  343.90              14.00               294.00              74                  
2			403                 402                 861.00              861.00              0.00                22                  345.45              13.95               307.00              74                  
3			403                 402                 879.00              879.00              0.00                23                  344.48              13.65               314.00              64                  
4			403                 402                 926.00              926.00              0.00                23                  338.04              14.04               323.00              64                  
5			403                 402                 872.00              872.00              0.00                22                  342.00              13.91               306.00              74                  
6			403                 402                 833.00              833.00              0.00                22                  345.23              13.32               293.00              64                  
7			403                 402                 896.00              896.00              0.00                24                  346.67              12.96               311.00              74                  
8			403                 402                 900.00              900.00              0.00                26                  349.12              11.96               311.00              74                  
9			403                 401                 1124.00             1124.00             0.00                45                  253.11              8.91                401.00              95                  
10			403                 402                 958.00              958.00              0.00                24                  337.75              13.92               334.00              75                  
11			403                 402                 845.00              845.00              0.00                23                  348.78              13.43               309.00              64                  
12			403                 402                 957.00              957.00              0.00                23                  340.26              14.35               330.00              75                  
13			403                 402                 836.00              836.00              0.00                23                  343.35              12.26               282.00              64                  
14			403                 402                 835.00              835.00              0.00                22                  347.55              14.23               313.00              64                  
15			403                 402                 837.00              837.00              0.00                22                  346.50              13.95               307.00              64                  
16			403                 402                 884.00              884.00              0.00                23                  347.43              13.91               320.00              64                  
17			403                 402                 886.00              886.00              0.00                23                  342.35              13.22               304.00              64                  
18			403                 402                 843.00              843.00              0.00                22                  342.50              13.00               286.00              74                  
19			403                 402                 1003.00             1003.00             0.00                26                  346.04              13.69               356.00              75                  
20			403                 401                 1233.00             1233.00             0.00                34                  360.82              13.59               462.00              95                  
21			403                 402                 1088.00             1088.00             0.00                25                  342.88              15.52               388.00              75                  
22			403                 402                 1295.00             1295.00             0.00                25                  342.08              17.84               446.00              85                  
23			403                 402                 937.00              937.00              0.00                24                  344.75              13.13               315.00              64                  
24			403                 402                 982.00              982.00              0.00                24                  341.88              14.13               339.00              75                  
25			403                 402                 799.00              799.00              0.00                20                  342.15              14.50               290.00              64                  
26			403                 402                 917.00              917.00              0.00                24                  349.17              14.08               338.00              74                  
27			403                 402                 884.00              884.00              0.00                23                  343.57              13.43               309.00              64                  
28			403                 402                 874.00              874.00              0.00                23                  346.78              13.87               319.00              74                  
29			403                 402                 908.00              908.00              0.00                23                  346.87              14.39               331.00              64                  
30			403                 402                 972.00              972.00              0.00                23                  339.30              14.78               340.00              75                  
31			403                 402                 834.00              834.00              0.00                22                  346.91              13.95               307.00              74                  
32			403                 402                 870.00              870.00              0.00                24                  350.83              13.38               321.00              64                  
33			403                 402                 819.00              819.00              0.00                21                  343.67              14.43               303.00              74                  
34			403                 402                 853.00              853.00              0.00                21                  340.24              14.29               300.00              64                  
