1			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
2			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
3			1328                1325                7368.00             5795.00             1573.00             56                  1317.43             15.50               868.00              883                 
4			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
5			1328                1327                3241.00             2210.00             1031.00             17                  1325.12             29.35               499.00              300                 
6			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
7			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
8			1328                1326                4206.00             3137.00             1069.00             23                  1323.91             24.13               555.00              394                 
9			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
10			1328                1326                3581.00             2611.00             970.00              18                  1324.78             28.33               510.00              17                  
11			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
12			1328                1327                2875.00             1964.00             911.00              13                  1325.92             34.62               450.00              32                  
13			1328                1326                4226.00             3203.00             1023.00             23                  1324.39             23.87               549.00              12                  
14			1328                1326                2902.00             2074.00             828.00              13                  1326.15             33.46               435.00              151                 
15			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
16			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
17			1328                1326                4439.00             3260.00             1179.00             27                  1323.37             22.48               607.00              36                  
18			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
19			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
20			1328                1326                4036.00             3011.00             1025.00             22                  1324.27             24.82               546.00              393                 
21			1328                1326                4085.00             3122.00             963.00              21                  1324.81             25.19               529.00              382                 
22			1328                1327                3210.00             2195.00             1015.00             17                  1325.12             29.35               499.00              300                 
23			1328                1327                3352.00             2177.00             1175.00             21                  1323.24             26.43               555.00              324                 
24			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
25			1328                1327                2801.00             1743.00             1058.00             16                  1324.50             30.44               487.00              55                  
26			1328                1327                1422.00             763.00              659.00              4                   1327.25             72.25               289.00              269                 
27			1328                1327                1421.00             764.00              657.00              4                   1327.25             72.50               290.00              269                 
28			1328                1327                1965.00             1211.00             754.00              7                   1326.71             50.14               351.00              49                  
29			1328                1326                2528.00             1765.00             763.00              10                  1326.50             39.50               395.00              415                 
30			1328                1326                2920.00             2090.00             830.00              13                  1326.15             33.77               439.00              110                 
31			1328                1326                3782.00             2718.00             1064.00             21                  1324.67             25.81               542.00              161                 
32			1328                1326                4215.00             3158.00             1057.00             24                  1323.79             23.33               560.00              14                  
33			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
34			1328                1327                2127.00             1288.00             839.00              9                   1326.22             43.22               389.00              82                  
35			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
36			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
37			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
38			1328                1326                3700.00             2638.00             1062.00             21                  1324.67             25.62               538.00              160                 
39			1328                1326                4607.00             3512.00             1095.00             27                  1323.56             21.93               592.00              259                 
40			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
41			1328                1325                5266.00             4067.00             1199.00             33                  1323.00             20.55               678.00              650                 
42			1328                1326                5437.00             4193.00             1244.00             34                  1321.44             19.76               672.00              651                 
43			1328                1326                3134.00             2144.00             990.00              16                  1325.50             30.63               490.00              283                 
44			1328                1326                3892.00             2910.00             982.00              20                  1324.75             26.30               526.00              270                 
45			1328                1326                5482.00             4090.00             1392.00             42                  1318.62             17.14               720.00              497                 
46			1328                1326                4978.00             3503.00             1475.00             41                  1319.41             17.54               719.00              91                  
47			1328                1327                4075.00             2710.00             1365.00             30                  1321.03             21.33               640.00              209                 
48			1328                1327                4176.00             2628.00             1548.00             37                  1317.70             19.03               704.00              255                 
49			1328                1327                2498.00             1584.00             914.00              11                  1325.82             38.73               426.00              185                 
50			1328                1327                2535.00             1695.00             840.00              11                  1326.27             37.73               415.00              416                 
51			1328                1326                3946.00             2977.00             969.00              20                  1324.85             26.30               526.00              260                 
52			1328                1326                2519.00             1759.00             760.00              10                  1326.50             39.10               391.00              415                 
53			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
54			1328                1326                3623.00             2645.00             978.00              18                  1324.78             28.33               510.00              27                  
55			1328                1326                3580.00             2583.00             997.00              18                  1324.78             28.67               516.00              27                  
