1			641                 640                 1007.00             460.00              547.00              4                   640.25              81.00               324.00              73                  
2			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
3			641                 640                 1277.00             764.00              513.00              8                   639.75              31.50               252.00              167                 
4			641                 640                 1251.00             745.00              506.00              8                   639.75              31.00               248.00              167                 
5			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
6			641                 640                 1499.00             869.00              630.00              13                  638.92              23.38               304.00              269                 
7			641                 640                 1382.00             811.00              571.00              10                  639.20              27.20               272.00              208                 
8			641                 640                 1391.00             771.00              620.00              7                   639.71              59.71               418.00              146                 
9			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
10			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
11			641                 640                 1683.00             1008.00             675.00              11                  639.27              46.82               515.00              239                 
12			641                 640                 1621.00             863.00              758.00              11                  638.82              49.64               546.00              208                 
13			641                 640                 1681.00             935.00              746.00              14                  637.93              24.36               341.00              249                 
14			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
15			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
16			641                 639                 2542.00             1720.00             822.00              26                  636.42              16.27               423.00              79                  
17			641                 640                 839.00              388.00              451.00              4                   640.25              46.75               187.00              63                  
18			641                 640                 829.00              387.00              442.00              4                   640.25              45.50               182.00              63                  
19			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
20			641                 640                 2858.00             1753.00             1105.00             30                  634.03              24.03               721.00              454                 
21			641                 640                 2480.00             1616.00             864.00              20                  636.85              32.10               642.00              341                 
22			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
23			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
24			641                 640                 833.00              395.00              438.00              4                   640.25              43.75               175.00              73                  
25			641                 640                 888.00              402.00              486.00              4                   640.25              59.75               239.00              73                  
26			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
27			641                 640                 1802.00             1099.00             703.00              15                  638.47              21.93               329.00              300                 
28			641                 640                 1322.00             749.00              573.00              9                   639.22              29.11               262.00              177                 
29			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
30			641                 640                 1804.00             1113.00             691.00              15                  638.47              22.20               333.00              300                 
31			641                 640                 1474.00             836.00              638.00              12                  638.92              25.00               300.00              239                 
32			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
33			641                 640                 1040.00             443.00              597.00              4                   640.25              93.00               372.00              73                  
34			641                 640                 993.00              427.00              566.00              4                   640.25              85.00               340.00              73                  
35			641                 640                 1441.00             812.00              629.00              12                  638.92              25.25               303.00              239                 
36			641                 640                 1495.00             919.00              576.00              11                  639.27              25.73               283.00              239                 
37			641                 640                 1727.00             993.00              734.00              15                  637.93              22.60               339.00              279                 
38			-1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  -1                  
39			641                 640                 1718.00             968.00              750.00              15                  637.93              22.60               339.00              279                 
40			641                 639                 3178.00             1981.00             1197.00             38                  633.05              20.92               795.00              144                 
