1			365                 363                 2842.00             2842.00             0.00                365                 182.49              3.61                1319.00             424                 
2			365                 363                 2745.00             2745.00             0.00                365                 181.61              3.46                1264.00             424                 
3			365                 363                 2784.00             2784.00             0.00                365                 181.79              3.59                1309.00             424                 
4			365                 363                 2640.00             2640.00             0.00                365                 181.75              3.24                1182.00             424                 
5			365                 363                 3027.00             3027.00             0.00                365                 181.98              4.02                1467.00             424                 
6			365                 363                 2611.00             2611.00             0.00                365                 181.70              3.16                1155.00             414                 
7			365                 363                 2788.00             2788.00             0.00                365                 181.72              3.35                1223.00             424                 
8			365                 363                 2681.00             2681.00             0.00                365                 182.04              3.35                1221.00             424                 
9			365                 363                 2843.00             2843.00             0.00                365                 182.15              3.76                1373.00             424                 
10			365                 363                 3068.00             3068.00             0.00                365                 182.22              4.10                1495.00             424                 
11			365                 362                 3128.00             3128.00             0.00                365                 181.15              4.37                1595.00             424                 
12			365                 361                 2896.00             2896.00             0.00                365                 182.37              3.85                1404.00             424                 
13			365                 363                 2925.00             2925.00             0.00                365                 182.27              3.88                1415.00             424                 
14			365                 363                 2835.00             2835.00             0.00                365                 182.12              3.69                1348.00             435                 
15			365                 363                 3048.00             3048.00             0.00                365                 181.98              4.10                1498.00             424                 
16			365                 363                 2808.00             2808.00             0.00                365                 181.81              3.66                1335.00             424                 
17			365                 363                 2773.00             2773.00             0.00                365                 182.02              3.52                1283.00             424                 
18			365                 363                 2996.00             2996.00             0.00                365                 181.56              3.98                1451.00             424                 
19			365                 363                 2773.00             2773.00             0.00                365                 181.82              3.59                1309.00             424                 
20			365                 363                 2980.00             2980.00             0.00                365                 181.86              3.85                1405.00             424                 
21			365                 363                 2780.00             2780.00             0.00                365                 181.75              3.53                1288.00             424                 
22			365                 363                 2865.00             2865.00             0.00                365                 182.57              3.77                1376.00             424                 
23			365                 363                 3069.00             3069.00             0.00                365                 182.58              4.10                1496.00             424                 
24			365                 363                 2814.00             2814.00             0.00                365                 182.56              3.65                1334.00             424                 
25			365                 363                 2945.00             2945.00             0.00                365                 181.88              3.97                1448.00             424                 
26			365                 363                 2565.00             2565.00             0.00                365                 181.33              3.12                1137.00             414                 
27			365                 363                 2632.00             2632.00             0.00                365                 181.84              3.16                1153.00             424                 
28			365                 363                 2836.00             2836.00             0.00                365                 181.69              3.39                1236.00             424                 
29			365                 363                 3242.00             3242.00             0.00                365                 182.55              4.50                1641.00             424                 
30			365                 363                 2867.00             2867.00             0.00                365                 182.01              3.70                1352.00             424                 
31			365                 363                 2892.00             2892.00             0.00                365                 182.55              3.75                1368.00             424                 
32			365                 363                 2829.00             2829.00             0.00                365                 182.67              3.61                1316.00             424                 
33			365                 363                 3038.00             3038.00             0.00                365                 182.55              4.11                1500.00             424                 
34			365                 363                 2755.00             2755.00             0.00                365                 182.05              3.52                1285.00             424                 
35			365                 363                 3044.00             3044.00             0.00                365                 182.29              4.01                1462.00             424                 
36			365                 363                 2814.00             2814.00             0.00                365                 182.07              3.57                1302.00             424                 
37			365                 363                 2829.00             2829.00             0.00                365                 181.61              3.60                1313.00             424                 
38			365                 363                 2641.00             2641.00             0.00                365                 181.51              3.10                1131.00             424                 
39			365                 363                 2665.00             2665.00             0.00                365                 181.28              3.26                1190.00             424                 
40			365                 364                 3209.00             3209.00             0.00                365                 182.69              4.43                1618.00             425                 
41			365                 363                 2875.00             2875.00             0.00                365                 181.64              3.35                1222.00             424                 
42			365                 363                 2873.00             2873.00             0.00                365                 181.39              3.40                1242.00             425                 
43			365                 363                 2749.00             2749.00             0.00                365                 182.01              3.61                1319.00             424                 
44			365                 363                 2766.00             2766.00             0.00                365                 182.02              3.54                1293.00             424                 
45			365                 363                 3015.00             3015.00             0.00                365                 181.93              4.06                1481.00             424                 
46			365                 363                 2992.00             2992.00             0.00                365                 182.19              3.99                1456.00             424                 
