#i        Axioms    size           time           RC             RC_total_time       mem            sanity    ReusedN        EarlyPT        
1         8         1              588.00         11             158.00              12             true      0              0              
#i        Axioms    size           time           RC             RC_total_time       mem            sanity    ReusedN        EarlyPT        
2         12        2              823.00         27             228.00              15             true      0              0              
#i        Axioms    size           time           RC             RC_total_time       mem            sanity    ReusedN        EarlyPT        
3         16        4              1133.00        46             286.00              23             true      0              0              
#i        Axioms    size           time           RC             RC_total_time       mem            sanity    ReusedN        EarlyPT        
4         20        8              2337.00        118            480.00              67             true      0              0              
#i        Axioms    size           time           RC             RC_total_time       mem            sanity    ReusedN        EarlyPT        
5         24        16             6224.00        477            916.00              224            true      0              0              
#i        Axioms    size           time           RC             RC_total_time       mem            Sanity    
6         -1        -1             -1             -1             -1                  -1             false     
#i        Axioms    size           time           RC             RC_total_time       mem            Sanity    
7         -1        -1             -1             -1             -1                  -1             false     
#i        Axioms    size           time           RC             RC_total_time       mem            sanity    ReusedN        EarlyPT        
8         36        Java HotSpot(TM) 64-Bit Server VM warning: INFO: os::commit_memory(0x00000007a1580000, 440401920, 0) failed; error='Cannot allocate memory' (errno=12)
#
# There is insufficient memory for the Java Runtime Environment to continue.
# Native memory allocation (malloc) failed to allocate 440401920 bytes for committing reserved memory.
#i        Axioms    size           time           RC             RC_total_time       mem            Sanity    
8         -1        -1             -1             -1             -1                  -1             false     
#i        Axioms    size           time           RC             RC_total_time       mem            Sanity    
9         -1        -1             -1             -1             -1                  -1             false     
#i        Axioms    size           time           RC             RC_total_time       mem            Sanity    
10        -1        -1             -1             -1             -1                  -1             false     
#i        Axioms    size           time           RC             RC_total_time       mem            Sanity    
11        -1        -1             -1             -1             -1                  -1             false     
#i        Axioms    size           time           RC             RC_total_time       mem            Sanity    
12        -1        -1             -1             -1             -1                  -1             false     
#i        Axioms    size           time           RC             RC_total_time       mem            Sanity    
13        -1        -1             -1             -1             -1                  -1             false     
#i        Axioms    size           time           RC             RC_total_time       mem            Sanity    
14        -1        -1             -1             -1             -1                  -1             false     
#i        Axioms    size           time           RC             RC_total_time       mem            Sanity    
15        -1        -1             -1             -1             -1                  -1             false     
#i        Axioms    size           time           RC             RC_total_time       mem            Sanity    
16        -1        -1             -1             -1             -1                  -1             false     
