#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
1         5         1              294.00         294.00         0.00           2              1.50                36.00               72.00               10             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
2         8         2              301.00         301.00         0.00           4              2.00                19.25               77.00               10             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
3         11        3              313.00         313.00         0.00           6              2.50                13.17               79.00               10             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
4         14        4              322.00         322.00         0.00           8              3.50                10.38               83.00               10             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
5         17        5              332.00         332.00         0.00           10             3.80                8.80                88.00               10             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
6         20        6              339.00         339.00         0.00           12             4.58                7.50                90.00               12             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
7         23        7              349.00         349.00         0.00           14             5.79                6.93                97.00               12             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
8         26        8              370.00         370.00         0.00           16             6.13                6.00                96.00               12             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
9         29        9              423.00         423.00         0.00           18             6.50                6.78                122.00              12             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
10        32        10             377.00         377.00         0.00           20             8.05                5.45                109.00              12             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
11        35        11             389.00         389.00         0.00           22             8.27                5.27                116.00              12             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
12        38        12             414.00         414.00         0.00           24             8.71                4.71                113.00              12             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
13        41        13             409.00         409.00         0.00           26             9.62                4.62                120.00              12             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
14        44        14             417.00         417.00         0.00           28             10.29               4.39                123.00              12             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
15        47        15             424.00         424.00         0.00           30             10.50               4.30                129.00              12             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
16        50        16             441.00         441.00         0.00           32             10.63               4.16                133.00              12             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
17        53        17             460.00         460.00         0.00           34             12.97               4.06                138.00              15             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
18        56        18             465.00         465.00         0.00           36             12.58               3.81                137.00              15             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
19        59        19             477.00         477.00         0.00           38             13.39               3.84                146.00              15             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
20        62        20             481.00         481.00         0.00           40             14.13               3.65                146.00              15             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
21        65        21             492.00         492.00         0.00           42             14.62               3.60                151.00              15             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
22        68        22             505.00         505.00         0.00           44             15.48               3.50                154.00              15             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
23        71        23             534.00         534.00         0.00           46             16.20               3.33                153.00              18             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
24        74        24             542.00         542.00         0.00           48             16.52               3.38                162.00              18             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
25        77        25             547.00         547.00         0.00           50             16.80               3.26                163.00              18             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
26        80        26             580.00         580.00         0.00           52             18.79               3.27                170.00              18             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
27        83        27             567.00         567.00         0.00           54             18.81               3.17                171.00              18             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
28        86        28             579.00         579.00         0.00           56             19.55               3.25                182.00              18             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
29        89        29             598.00         598.00         0.00           58             20.79               3.16                183.00              20             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
30        92        30             620.00         620.00         0.00           60             21.25               3.15                189.00              20             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
31        95        31             623.00         623.00         0.00           62             21.74               3.08                191.00              20             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
32        98        32             632.00         632.00         0.00           64             22.39               3.02                193.00              20             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
33        101       33             642.00         642.00         0.00           66             23.06               3.05                201.00              20             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
34        104       34             661.00         661.00         0.00           68             23.04               3.01                205.00              20             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
35        107       35             674.00         674.00         0.00           70             24.77               2.96                207.00              23             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
36        110       36             684.00         684.00         0.00           72             25.15               2.97                214.00              23             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
37        113       37             694.00         694.00         0.00           74             24.95               2.89                214.00              23             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
38        116       38             716.00         716.00         0.00           76             27.92               2.93                223.00              25             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
39        119       39             723.00         723.00         0.00           78             27.08               2.94                229.00              25             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
40        122       40             724.00         724.00         0.00           80             27.05               2.79                223.00              25             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
41        125       41             754.00         754.00         0.00           82             29.05               2.99                245.00              25             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
42        128       42             766.00         766.00         0.00           84             29.33               2.70                227.00              25             
#i        Axioms    size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            
